threads,connections,duration,post,spearman_corr,evaluated_time,front_level
8,35,50,True,0.7212121212121211,50.12172164916992,0
8,40,15,True,0.35757575757575755,15.067273092269897,0
8,45,40,True,0.4787878787878787,40.117614006996156,0
8,35,10,True,0.05454545454545454,10.055410790443421,0
8,35,25,True,0.3696969696969697,25.09067621231079,0
8,25,55,True,0.6484848484848483,55.116765475273134,1
8,40,50,True,0.3696969696969697,50.11710884571075,1
8,50,10,True,-0.11515151515151514,10.055823731422425,1
8,30,45,True,0.11515151515151514,45.10635559558868,1
8,15,60,True,0.5151515151515151,60.07649855613708,2
