ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,evaluated_time,fidelity_setting,corr
Off,Off,Off,On,Off,Off,On,On,On,Off,Off,On,On,Off,Off,On,On,On,Off,Off,0.07100272178649902,2.87540602684021,"[60, 15, 1, 3, 10]",0.7454545454545454
On,On,On,On,Off,On,Off,On,On,Off,On,Off,Off,On,On,Off,Off,On,Off,On,0.08085298538208008,2.8501927852630615,"[60, 15, 1, 3, 10]",0.7454545454545454
Off,On,On,Off,On,Off,Off,Off,Off,Off,On,Off,Off,On,On,On,On,Off,On,On,0.08237028121948242,2.799680233001709,"[60, 15, 1, 3, 10]",0.7454545454545454
On,On,On,Off,On,On,Off,Off,Off,Off,On,Off,On,On,On,Off,Off,On,On,Off,0.0832979679107666,2.7137694358825684,"[60, 15, 1, 3, 10]",0.7454545454545454
Off,Off,Off,On,On,Off,Off,On,On,On,Off,Off,On,On,On,On,Off,Off,On,Off,0.08434438705444336,2.798546552658081,"[60, 15, 1, 3, 10]",0.7454545454545454
Off,On,Off,On,Off,On,Off,On,On,Off,On,On,On,Off,On,On,On,Off,Off,Off,0.08436417579650879,2.7872984409332275,"[60, 15, 1, 3, 10]",0.7454545454545454
On,Off,On,On,On,Off,Off,On,On,On,Off,Off,On,On,On,Off,Off,On,Off,Off,0.08509302139282227,2.762136697769165,"[60, 15, 1, 3, 10]",0.7454545454545454
Off,On,Off,Off,On,Off,On,On,Off,On,Off,Off,Off,Off,Off,Off,On,Off,On,Off,0.08623075485229492,2.9128317832946777,"[60, 15, 1, 3, 10]",0.7454545454545454
Off,On,On,Off,On,Off,On,Off,On,Off,On,Off,On,On,On,On,On,On,On,On,0.08626127243041992,2.8083064556121826,"[60, 15, 1, 3, 10]",0.7454545454545454
On,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,On,Off,Off,Off,On,0.08720684051513672,2.9240024089813232,"[60, 15, 1, 3, 10]",0.7454545454545454
On,On,On,On,On,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,On,Off,Off,Off,0.08734846115112305,2.8306665420532227,"[60, 15, 1, 3, 10]",0.7454545454545454
Off,Off,On,Off,Off,Off,On,Off,On,On,On,Off,On,Off,On,On,On,Off,Off,Off,0.0876319408416748,2.824744462966919,"[60, 15, 1, 3, 10]",0.7454545454545454
Off,On,On,Off,On,Off,On,Off,On,Off,Off,On,On,On,On,Off,On,On,Off,On,0.09067106246948242,2.9586234092712402,"[60, 15, 1, 3, 10]",0.7454545454545454
Off,Off,On,Off,On,On,On,Off,Off,Off,Off,On,Off,On,On,On,Off,On,On,On,0.09213376045227051,2.666274070739746,"[60, 15, 1, 3, 10]",0.7454545454545454
Off,Off,On,Off,On,Off,Off,Off,On,On,On,On,Off,On,Off,Off,On,On,Off,On,0.09229612350463867,2.9053585529327393,"[60, 15, 1, 3, 10]",0.7454545454545454
Off,On,Off,Off,On,Off,Off,On,Off,Off,On,Off,Off,Off,Off,On,Off,On,On,Off,0.0926973819732666,2.940063953399658,"[60, 15, 1, 3, 10]",0.7454545454545454
Off,On,Off,Off,On,Off,On,On,Off,On,Off,On,On,Off,Off,Off,Off,On,Off,Off,0.09283995628356934,2.901426315307617,"[60, 15, 1, 3, 10]",0.7454545454545454
On,Off,On,Off,Off,Off,On,Off,On,On,On,On,On,Off,On,On,On,Off,Off,Off,0.09317636489868164,2.866567373275757,"[60, 15, 1, 3, 10]",0.7454545454545454
On,On,On,On,On,On,Off,Off,On,Off,Off,Off,Off,On,On,Off,On,Off,On,Off,0.0965728759765625,2.73130464553833,"[60, 15, 1, 3, 10]",0.7454545454545454
Off,Off,Off,On,On,Off,On,On,Off,On,On,On,On,Off,Off,Off,On,Off,On,On,0.10331225395202637,2.8845033645629883,"[60, 15, 1, 3, 10]",0.7454545454545454
