threads,connections,duration,post,spearman_corr,evaluated_time,front_level
8,30,20,True,0.4666666666666666,20.075491285324098,0
8,35,10,True,-0.16363636363636364,10.053802323341369,0
8,30,45,False,0.4787878787878787,45.095740461349486,0
8,15,20,True,0.2121212121212121,20.054150390625,0
8,50,35,True,0.23636363636363633,35.115761399269104,1
4,40,55,True,0.2606060606060606,55.10727596282959,1
8,15,55,True,0.24848484848484845,55.07699289321899,1
4,30,20,True,0.04242424242424241,20.0719557762146,1
8,45,25,True,0.16363636363636364,25.086654257774352,1
4,45,20,True,-0.38181818181818183,20.079770064353944,2
