fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,On,On,On,Off,On,Off,On,Off,On,On,On,Off,On,On,On,Off,On,On,Off,0.0936274528503418,1.5295696258544922,522088,34.034974575042725,2152160,10605,38.08027982711792,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,Off,Off,0.08769679069519043,0.6926076412200928,205976,4.157180309295654,828309,4503,7.451744794845581,"[10, 50, 6, 4, 10]"
Off,On,Off,On,Off,Off,On,On,On,On,Off,Off,Off,On,On,Off,On,On,Off,Off,0.08368873596191406,0.7210423946380615,207240,4.12922739982605,828309,4503,7.343786001205444,"[10, 50, 6, 4, 10]"
On,Off,On,On,On,On,Off,Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,On,Off,0.08259057998657227,0.764854907989502,205976,4.145827531814575,828309,4503,7.441631555557251,"[10, 50, 6, 4, 10]"
On,Off,Off,Off,On,Off,Off,On,On,Off,On,On,On,Off,On,On,On,Off,On,On,0.09833216667175293,0.7638423442840576,207240,4.136002779006958,828309,4503,7.571771860122681,"[10, 50, 6, 4, 10]"
On,On,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,Off,On,Off,Off,Off,0.07761406898498535,0.7562422752380371,207208,4.1483964920043945,828309,4503,7.486461400985718,"[10, 50, 6, 4, 10]"
On,Off,On,On,On,Off,On,On,Off,On,On,On,Off,On,Off,On,Off,On,On,On,0.09239721298217773,0.7641983032226562,206008,4.1337268352508545,828309,4503,7.434060335159302,"[10, 50, 6, 4, 10]"
On,On,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,Off,On,Off,Off,Off,0.1022956371307373,0.7259573936462402,242608,6.770429611206055,866233,4708,10.123705625534058,"[10, 50, 6, 4, 25]"
On,Off,On,On,On,On,Off,Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,On,Off,0.09216070175170898,0.7181525230407715,241456,6.7499098777771,866233,4708,10.073516607284546,"[10, 50, 6, 4, 25]"
Off,On,Off,On,Off,Off,On,On,On,On,Off,Off,Off,On,On,Off,On,On,Off,Off,0.07550692558288574,0.6738519668579102,246776,6.748379230499268,866233,4708,9.94795298576355,"[10, 50, 6, 4, 25]"
Off,On,Off,On,Off,Off,On,On,On,On,Off,Off,Off,On,On,Off,On,On,Off,Off,0.09560942649841309,1.4948256015777588,523384,34.18772506713867,2152160,10605,38.2462272644043,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,On,On,On,On,On,On,Off,On,On,On,On,On,On,Off,On,0.0902547836303711,0.7246859073638916,246776,6.783216238021851,866233,4708,10.012086868286133,"[10, 50, 6, 4, 25]"
Off,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,Off,Off,0.09273481369018555,0.6889266967773438,242680,6.751600503921509,866233,4708,10.083716869354248,"[10, 50, 6, 4, 25]"
On,Off,On,Off,On,On,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,On,On,Off,0.08910131454467773,0.7075414657592773,242608,6.741967439651489,866233,4708,10.01626992225647,"[10, 50, 6, 4, 25]"
On,On,On,On,On,Off,Off,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,0.09559941291809082,0.6677422523498535,246776,6.773960113525391,866233,4708,9.973802328109741,"[10, 50, 6, 4, 25]"
On,Off,On,Off,On,On,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,On,On,Off,0.0840609073638916,1.507690668106079,515000,34.06784796714783,2152160,10605,38.16346764564514,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,On,On,On,On,On,On,Off,On,On,On,On,On,On,Off,On,0.08771061897277832,1.5366227626800537,523384,34.07156538963318,2152160,10605,38.213478326797485,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,Off,Off,Off,Off,On,On,Off,Off,On,Off,On,Off,On,Off,On,0.08427953720092773,1.5110900402069092,513704,34.14415764808655,2152160,10605,38.12728023529053,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,Off,On,0.09157752990722656,1.5285611152648926,521896,34.02744483947754,2152160,10605,38.08412170410156,"[10, 50, 6, 4, 50]"
