ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,On,On,Off,On,Off,Off,Off,On,On,Off,Off,Off,Off,Off,On,On,On,On,On,0.08632397651672363,5.615982532501221,1251544,35.23055982589722,2152160,10605,44.808350563049316,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,On,On,Off,Off,Off,Off,Off,On,Off,On,On,Off,Off,Off,Off,0.08481597900390625,5.545180797576904,1248872,34.63194561004639,2152160,10605,42.82137942314148,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,On,Off,On,On,On,Off,On,Off,On,Off,On,On,On,Off,On,0.09426546096801758,5.506269216537476,1248872,34.6431450843811,2152160,10605,42.7537305355072,"[10, 50, 6, 4, 50]"
Off,Off,On,On,On,Off,Off,On,On,On,On,Off,Off,On,On,Off,Off,Off,On,Off,0.09116935729980469,5.550229549407959,1255640,34.67089557647705,2152160,10605,42.78065609931946,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,On,On,On,Off,On,On,Off,On,On,On,On,On,Off,On,Off,0.08518576622009277,5.497999429702759,1248872,34.60349464416504,2152160,10605,42.7173011302948,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,Off,On,Off,On,Off,Off,On,On,Off,Off,Off,On,Off,Off,On,0.08799576759338379,5.488500118255615,1252968,34.55935072898865,2152160,10605,42.599461793899536,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,Off,Off,On,Off,Off,On,On,Off,Off,On,Off,Off,On,Off,On,0.08480405807495117,5.518242597579956,1255640,34.750680923461914,2152160,10605,42.86626601219177,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,On,Off,Off,Off,On,On,Off,0.08588027954101562,5.486219644546509,1252968,34.633620500564575,2152160,10605,42.68699622154236,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,On,Off,Off,Off,Off,0.08750152587890625,5.490170478820801,1251544,34.77004384994507,2152160,10605,42.87736368179321,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,On,Off,On,On,On,On,Off,Off,On,On,Off,On,Off,Off,Off,0.09850025177001953,5.504095554351807,1255640,34.734928369522095,2152160,10605,42.74367094039917,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,Off,On,On,Off,On,Off,On,On,On,On,On,On,On,On,0.08983373641967773,5.489152431488037,1248872,34.60795450210571,2152160,10605,42.63678002357483,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,On,Off,Off,Off,Off,0.09055280685424805,5.489998817443848,1251544,34.79442477226257,2152160,10605,42.82660794258118,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,Off,On,Off,Off,On,Off,Off,Off,Off,Off,On,Off,On,On,On,0.0852048397064209,5.541713714599609,1248872,34.76398706436157,2152160,10605,42.85065746307373,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,Off,On,Off,Off,On,On,On,0.10719776153564453,5.507014751434326,1252968,34.72250485420227,2152160,10605,42.71995186805725,"[10, 50, 6, 4, 50]"
On,Off,Off,On,Off,On,On,On,Off,Off,Off,On,Off,On,Off,Off,On,On,Off,On,0.08571410179138184,5.54744029045105,1252968,34.716637134552,2152160,10605,42.93636679649353,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,Off,On,On,On,Off,On,Off,On,On,Off,Off,On,Off,On,Off,0.08259224891662598,5.5175981521606445,1252968,34.73959469795227,2152160,10605,42.795618772506714,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,On,On,On,Off,Off,On,On,On,On,Off,Off,On,On,Off,Off,0.09294486045837402,5.487851858139038,1252968,34.79106783866882,2152160,10605,42.81699275970459,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,On,On,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,On,Off,0.09078669548034668,5.50310754776001,1252968,34.5709810256958,2152160,10605,42.79492378234863,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,On,Off,On,Off,Off,On,On,Off,On,Off,Off,On,Off,On,Off,0.08657407760620117,5.519659996032715,1255640,34.76602482795715,2152160,10605,42.77766728401184,"[10, 50, 6, 4, 50]"
