time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
45,45,30000,6,0.5,0.8545454545454544,73.38510863780975,0
50,30,10000,6,0.5,0.6484848484848483,59.848710489273074,0
30,20,20000,10,0.5,0.4545454545454545,44.675008630752565,0
40,20,20000,10,0.5,0.5757575757575757,55.28697681427002,0
45,25,40000,4,0.5,0.6727272727272726,61.78480243682861,0
40,45,30000,6,0.5,0.7818181818181817,68.87570631504059,0
40,35,40000,4,0.5,0.7818181818181817,63.023416137695314,0
35,20,35000,4,0.5,0.22424242424242422,48.03314871788025,1
50,25,20000,10,0.5,0.6727272727272726,66.92712168693542,1
40,25,40000,4,0.5,0.49090909090909085,56.779779481887815,1
