8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,encode_time,avg_cpu_util,output_file_mb,bitrate_kbps,encode_fps,cost,fidelity
1,none,3,1.8542762402573634,0,13,1,5,1.5274447138154952,3:3,auto,1,475,1,umh,11,1,1,none,0,25.37,25.37,940.0473,324.042546,136140.192852,47.6,25.570854902267456,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",0,0.9936193775202311,1,6,1,-4,26.763382110464214,6:-6,spatial,1,385,3,dia,4,0,0,none,1,13.14,13.14,1196.118721,21.856973,9182.783286,91.9,13.292431354522705,"['Action', '1080p', 60, '20s']"
0,"p8x8,b8x8,i8x8,i4x4",0,1.2776016784862028,0,7,0,-7,7.841845546587156,6:6,auto,1,256,3,hex,22,0,1,vbr,0,22.88,22.88,1422.159091,169.497033,71210.892033,52.67,23.063355684280396,"['Action', '1080p', 60, '20s']"
0,p4x4,1,1.8542762402573634,0,13,1,10,1.5274447138154952,3:3,temporal,1,117,1,umh,11,1,1,none,1,25.73,25.73,882.277497,299.478931,125820.266347,46.83,25.916187524795532,"['Action', '1080p', 60, '20s']"
1,none,3,1.195380953907058,0,14,1,5,29.585346184273632,0:0,auto,1,475,0,umh,22,0,1,vbr,0,13.64,13.64,1134.897361,20.292232,8525.387637,88.88,13.789021492004395,"['Action', '1080p', 60, '20s']"
0,p8x8,2,0.7963403618786435,2,0,0,4,49.801977859487394,0:0,temporal,1,321,1,dia,60,0,1,vbr,0,9.95,9.95,478.79397,2.345807,985.545359,121.68,10.09918475151062,"['Action', '1080p', 60, '20s']"
0,p4x4,2,0.46894636936656253,2,2,1,1,10.174466570197579,6:-6,spatial,1,290,1,esa,42,1,0,vbr,1,37.53,37.53,993.52518,97.871877,41118.971334,32.01,37.68417167663574,"['Action', '1080p', 60, '20s']"
0,p4x4,3,0.4498679550631097,0,12,1,0,28.58475890485096,-4:4,none,1,445,0,hex,17,0,0,none,1,10.52,10.52,1035.076046,26.505006,11135.564288,115.03,10.666026592254639,"['Action', '1080p', 60, '20s']"
1,p8x8,0,1.2932080819328864,0,16,0,7,16.60761245102158,-1:1,spatial,1,326,0,umh,12,1,1,vbr,0,16.44,16.44,1133.698297,87.68187,36837.837782,73.69,16.5882351398468,"['Action', '1080p', 60, '20s']"
1,none,1,1.8542762402573634,0,13,1,10,29.585346184273632,3:3,auto,1,475,1,umh,22,0,1,vbr,0,21.98,21.98,575.11374,19.579413,8225.910914,54.91,22.125441789627075,"['Action', '1080p', 60, '20s']"
0,p4x4,3,1.195380953907058,0,14,1,5,1.5274447138154952,0:0,temporal,1,117,0,umh,11,1,1,none,1,19.84,19.84,1390.47379,322.313046,135413.577038,61.14,20.023811101913452,"['Action', '1080p', 60, '20s']"
0,p4x4,0,1.2932080819328864,0,7,0,1,15.159563753731591,2:2,none,1,150,0,esa,26,1,1,vbr,1,21.8,21.8,1444.082569,86.310644,36261.743635,55.29,21.95120334625244,"['Action', '1080p', 60, '20s']"
