8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,evaluated_time,fidelity_setting,corr
0,p8x8,2,0.7963403618786435,2,0,0,4,49.801977859487394,0:0,temporal,1,321,1,dia,60,0,1,vbr,0,9.95,10.09918475151062,"['Action', '1080p', 60, '20s']",1
0,p4x4,3,1.195380953907058,0,4,1,0,29.585346184273632,0:0,auto,1,326,0,hex,22,0,1,vbr,1,10.01,10.156344175338745,"['Action', '1080p', 60, '20s']",1
1,p4x4,0,1.195380953907058,0,12,0,7,29.585346184273632,0:0,auto,1,326,0,hex,22,0,1,vbr,1,10.5,10.653847217559814,"['Action', '1080p', 60, '20s']",1
0,p4x4,3,0.4498679550631097,0,12,1,0,28.58475890485096,-4:4,none,1,445,0,hex,17,0,0,none,1,10.52,10.666026592254639,"['Action', '1080p', 60, '20s']",1
1,p4x4,0,1.195380953907058,0,12,0,7,29.585346184273632,0:0,auto,1,326,0,hex,17,1,1,vbr,1,10.52,10.676469326019287,"['Action', '1080p', 60, '20s']",1
1,p4x4,3,0.4498679550631097,0,12,1,0,28.58475890485096,-4:4,none,1,445,0,hex,12,0,0,none,1,10.85,10.97904348373413,"['Action', '1080p', 60, '20s']",1
0,p4x4,3,1.270976006081585,0,9,1,0,26.763382110464214,-4:4,auto,1,445,0,hex,17,0,0,none,1,10.93,11.065720319747925,"['Action', '1080p', 60, '20s']",1
0,p4x4,0,1.270976006081585,1,12,1,0,26.763382110464214,-4:4,auto,1,445,0,hex,17,0,0,vbr,1,11.02,11.163367986679077,"['Action', '1080p', 60, '20s']",1
1,p4x4,3,1.195380953907058,1,6,1,-4,26.763382110464214,0:0,temporal,1,187,0,dia,22,0,0,vbr,0,11.26,11.402549743652344,"['Action', '1080p', 60, '20s']",1
1,p4x4,0,0.4498679550631097,0,12,0,7,28.58475890485096,-4:4,none,1,445,0,hex,17,0,0,none,1,11.51,11.66333794593811,"['Action', '1080p', 60, '20s']",1
1,none,3,1.195380953907058,1,6,1,-4,26.763382110464214,0:0,spatial,1,475,3,dia,22,0,1,vbr,0,11.85,11.997953653335571,"['Action', '1080p', 60, '20s']",1
1,p8x8,3,0.4498679550631097,0,12,1,0,28.58475890485096,-4:4,none,1,445,0,hex,12,0,0,none,1,11.89,12.035107374191284,"['Action', '1080p', 60, '20s']",1
0,none,3,0.7178658312480799,1,12,1,1,28.58475890485096,-4:4,none,1,385,3,hex,17,0,0,none,1,11.89,12.045097351074219,"['Action', '1080p', 60, '20s']",1
1,p8x8,0,1.195380953907058,1,12,1,7,29.585346184273632,0:0,auto,1,326,0,hex,22,0,1,vbr,0,12.0,12.1503746509552,"['Action', '1080p', 60, '20s']",1
0,p4x4,0,1.2932080819328864,0,12,0,7,16.60761245102158,-1:1,spatial,1,326,0,hex,17,1,1,vbr,1,12.01,12.1764657497406,"['Action', '1080p', 60, '20s']",1
0,none,0,0.7178658312480799,1,6,1,7,16.60761245102158,-1:1,spatial,1,385,3,dia,46,0,0,none,1,12.18,12.342288970947266,"['Action', '1080p', 60, '20s']",1
0,p4x4,0,0.4498679550631097,0,6,1,7,16.60761245102158,-1:1,spatial,1,445,0,dia,46,0,0,none,1,12.47,12.631261825561523,"['Action', '1080p', 60, '20s']",1
0,none,3,0.4498679550631097,0,12,1,0,28.58475890485096,-1:1,spatial,1,326,0,umh,17,1,0,none,0,12.63,12.792688369750977,"['Action', '1080p', 60, '20s']",1
1,p4x4,2,1.195380953907058,0,14,1,0,29.585346184273632,0:0,none,0,475,0,umh,12,0,0,none,1,12.77,12.908596277236938,"['Action', '1080p', 60, '20s']",1
1,p4x4,0,0.4498679550631097,0,12,0,7,16.60761245102158,-4:4,none,1,187,0,hex,17,1,1,none,0,12.82,12.976264238357544,"['Action', '1080p', 60, '20s']",1
