time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
30,25,15000,8,0.5,0.6,42.76849377155304,0
40,40,15000,4,0.5,0.6848484848484848,52.80113399028778,0
45,40,10000,4,0.5,0.8060606060606059,55.36956152915955,0
30,35,15000,6,0.5,0.5757575757575757,43.81976039409638,1
45,35,10000,4,0.5,0.6,54.37703025341034,1
40,40,40000,4,0.5,0.7454545454545454,64.74375669956207,1
40,25,40000,4,0.5,0.709090909090909,57.46328949928284,1
35,35,25000,4,0.5,0.5151515151515151,50.05670280456543,2
35,35,10000,8,0.5,0.43030303030303024,47.63423812389374,2
45,45,10000,8,0.5,0.6727272727272726,59.995212173461915,2
