inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
80,25,1,4,20,0.406060606060606,2.842090702056885,0
70,35,2,3,25,0.7696969696969697,3.5092966318130494,0
80,10,1,2,15,0.6848484848484848,2.8933451652526854,0
60,25,1,4,20,0.09090909090909088,2.796948051452637,0
80,10,3,1,15,0.34545454545454546,2.8829264402389527,1
90,5,1,1,15,0.32121212121212117,2.8675371170043946,1
90,35,1,2,25,0.6242424242424242,3.0202893257141112,1
70,25,1,4,15,-0.5636363636363636,2.819378876686096,1
80,10,1,1,15,-0.0303030303030303,2.8414952754974365,1
90,15,1,1,15,0.05454545454545454,2.851786470413208,1
