inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
60,15,2,2,5,0.4545454545454545,2.8255543231964113,0
70,25,1,1,5,0.43030303030303024,2.82030713558197,0
60,20,1,3,15,0.4424242424242424,3.0131744146347046,1
90,25,1,2,5,0.006060606060606061,2.825813317298889,1
60,10,1,2,10,0.19999999999999998,2.8408196210861205,1
90,15,1,1,10,0.19999999999999998,2.837599205970764,1
70,20,1,3,20,0.41818181818181815,3.0377963542938233,2
90,10,1,2,5,0.18787878787878787,2.857134747505188,2
70,20,1,1,15,-0.16363636363636364,2.859054374694824,3
90,10,3,3,35,0.16363636363636364,3.866941785812378,3
