checkpoint_completion_target,backend_flush_after,maintenance_work_mem,max_parallel_workers_per_gather,min_wal_size,wal_writer_flush_after,wal_writer_delay,work_mem,random_page_cost,commit_siblings,checkpoint_flush_after,seq_page_cost,commit_delay,join_collapse_limit,bgwriter_delay,from_collapse_limit,default_statistics_target,bgwriter_flush_after,checkpoint_timeout,deadlock_timeout,throughput,evaluated_time,fidelity_setting,corr
0.34261499793439143,195,378279,989,7042,1133528124,7110,42989,8.812684891184034,32,190,81.62472739870451,34894,1449935306,1363,771833456,403,4,23954,1794994179,805.78,37.423499584198,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.1795796958816121,190,965646,704,7657,1145918113,6877,252119,33.95334171162164,615,200,53.010420184924826,61874,1754895586,5567,320135206,2274,99,4855,780942687,792.12,36.55972766876221,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.7384120502209501,143,83717,811,2010,1579420799,5479,958753,46.60419140771349,633,107,55.57055803899848,63635,83143280,1219,1680120789,904,55,13245,1933225487,790.56,36.482468128204346,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.05923377644578659,218,230311,779,2065,1488847065,1177,271652,12.932119297587242,509,76,22.03763283157158,39178,298267097,9645,1726192720,908,149,69690,169238538,777.14,36.516189098358154,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.358144479562449,14,366540,107,2167,2060013446,5313,891540,37.753858144073924,854,119,57.64112785226237,84216,1973753206,9659,788213382,59,102,56298,1089694127,777.1,37.126524925231934,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.9581144590699593,22,177071,942,3283,1358756915,4262,841891,7.7569950010273185,503,125,46.974326137845736,64393,503620389,2997,1319577253,13,232,39842,1818529562,777.05,37.4629225730896,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.8953501424050985,159,59644,586,1007,1926299785,1719,58706,10.49679718089288,930,171,75.89449667439668,59325,1123730531,202,1035043370,2144,80,20489,817570541,770.72,37.150797605514526,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.6961750820278778,252,481600,705,1295,1024007288,2128,390009,72.54353671621313,299,150,9.585677715383047,47121,53815706,6007,1651021631,763,241,74116,1945580222,766.55,36.991915702819824,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.08133532554924673,204,541257,681,6429,59083714,9958,779777,82.68649357164543,320,57,21.328919196510043,96831,861753081,5396,1880862929,589,130,11434,1603383543,761.36,37.02240180969238,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.7777656517896785,213,810728,481,841,1732264603,1165,376733,30.189347223013762,49,96,54.777356307127775,42489,271457533,4510,964798863,1256,9,34320,82328031,759.56,37.04473948478699,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.5139618589950172,136,509430,554,5117,532964175,2683,147,17.03582298980382,784,147,22.971776078033336,67045,743248310,2773,1594892171,321,49,61040,576279159,756.97,37.116002321243286,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.22417577893848523,233,157130,427,1589,960895357,840,892864,78.34787739619827,470,60,85.82560827270079,54392,1078281600,4247,446453682,1560,54,48299,1274994618,755.75,36.88144373893738,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.7247593132990753,17,727904,30,5736,410279595,489,550248,78.99532060144337,855,226,95.04515680397307,54148,1870663981,8351,247482720,2016,253,53822,892677628,754.42,36.78786301612854,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.009012878908480187,130,389823,331,1796,1513250315,8037,255356,30.828954823501526,867,106,44.70559143999212,37335,2039388363,387,162714829,619,123,34785,224088688,752.53,36.95120406150818,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.8593960691755089,110,359521,286,1869,1240349051,2845,166601,54.79053346080123,745,105,6.571060519846589,80516,166574046,3221,649364038,804,65,47054,57835531,751.67,36.817134857177734,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.03695553351578483,84,58516,654,3099,1969037694,6066,642798,19.768991669703986,248,12,93.18316009427288,85442,199929631,8197,1325003154,1374,85,30147,1001729850,744.88,36.94584846496582,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.2283553845828721,200,829494,316,4404,1387698815,9069,970871,78.82259841190675,469,178,57.216692078264195,19690,1008760749,3166,1717187829,1439,42,59194,1121440919,739.86,36.760539054870605,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.03817172664653986,227,948257,81,2925,311905401,6325,952440,6.482172671873373,751,205,96.50789868709118,90209,2076298705,452,2059987357,1704,161,59962,215724287,732.88,37.02850651741028,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.8162358992450081,51,513980,461,3803,1145340510,5028,670404,32.17920245943154,718,253,62.387647147356816,95460,221059543,9912,1125348836,870,134,77569,1094028583,729.2,36.556583881378174,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
0.10096437533496747,216,577517,290,7604,364397900,936,471501,39.28417858276377,682,223,20.13676781488153,30276,1323097642,9485,1222463254,535,220,55962,1170979273,727.6,37.329918384552,"[30, 20, 15000, 4, 0.6]",0.8060606060606059
