fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,evaluated_time,fidelity_setting,corr
Off,On,On,Off,Off,On,On,On,On,On,Off,On,Off,On,Off,On,On,Off,On,Off,0.06126761436462402,2.788043975830078,"[70, 25, 1, 1, 20]",0.6242424242424242
Off,On,On,On,Off,Off,On,On,Off,On,On,On,Off,On,Off,On,On,On,On,Off,0.06619739532470703,2.726891279220581,"[70, 25, 1, 1, 20]",0.6242424242424242
On,On,On,Off,Off,Off,On,On,Off,On,Off,Off,Off,On,On,Off,On,On,On,On,0.06790447235107422,2.7321131229400635,"[70, 25, 1, 1, 20]",0.6242424242424242
On,On,On,Off,Off,Off,On,On,Off,On,Off,Off,Off,On,Off,Off,On,On,On,On,0.06796622276306152,2.7416486740112305,"[70, 25, 1, 1, 20]",0.6242424242424242
On,On,Off,Off,Off,Off,On,Off,Off,On,Off,On,Off,On,Off,On,On,On,On,On,0.06836915016174316,2.8175251483917236,"[70, 25, 1, 1, 20]",0.6242424242424242
Off,On,Off,Off,Off,Off,On,On,Off,On,Off,On,Off,On,Off,Off,On,On,On,On,0.06842207908630371,2.7565395832061768,"[70, 25, 1, 1, 20]",0.6242424242424242
On,On,On,On,Off,Off,Off,Off,On,On,Off,On,Off,On,Off,On,On,On,On,On,0.06865572929382324,2.7333195209503174,"[70, 25, 1, 1, 20]",0.6242424242424242
On,Off,On,Off,Off,Off,On,On,Off,On,Off,Off,Off,On,On,Off,On,On,On,Off,0.06878042221069336,2.7580294609069824,"[70, 25, 1, 1, 20]",0.6242424242424242
Off,On,Off,Off,Off,Off,On,On,Off,On,Off,On,Off,On,Off,On,On,Off,On,Off,0.06902098655700684,2.7584688663482666,"[70, 25, 1, 1, 20]",0.6242424242424242
On,Off,On,Off,Off,On,On,On,On,On,On,On,Off,On,Off,On,On,Off,On,Off,0.06952095031738281,2.800274610519409,"[70, 25, 1, 1, 20]",0.6242424242424242
Off,On,On,On,On,Off,On,On,On,On,Off,On,On,On,Off,On,On,On,On,Off,0.07039928436279297,2.7621660232543945,"[70, 25, 1, 1, 20]",0.6242424242424242
Off,On,On,Off,Off,Off,Off,On,Off,On,Off,On,Off,On,Off,Off,On,On,On,On,0.07069277763366699,2.843315362930298,"[70, 25, 1, 1, 20]",0.6242424242424242
On,On,On,Off,Off,Off,On,On,On,On,On,On,Off,On,Off,Off,On,On,On,Off,0.07120347023010254,2.727297782897949,"[70, 25, 1, 1, 20]",0.6242424242424242
On,On,Off,Off,Off,On,On,Off,Off,Off,Off,On,Off,On,Off,Off,On,On,On,On,0.07123017311096191,2.8028972148895264,"[70, 25, 1, 1, 20]",0.6242424242424242
Off,On,On,On,Off,Off,On,On,On,On,Off,On,On,On,Off,Off,On,On,On,Off,0.071533203125,2.7780818939208984,"[70, 25, 1, 1, 20]",0.6242424242424242
Off,On,On,On,Off,Off,On,On,On,On,On,On,On,On,Off,On,Off,On,On,Off,0.07155108451843262,2.665562152862549,"[70, 25, 1, 1, 20]",0.6242424242424242
On,On,Off,Off,Off,Off,On,On,Off,On,Off,On,Off,On,Off,On,Off,On,On,On,0.0717322826385498,2.7315244674682617,"[70, 25, 1, 1, 20]",0.6242424242424242
Off,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,On,On,On,Off,0.07188105583190918,2.784898519515991,"[70, 25, 1, 1, 20]",0.6242424242424242
Off,On,On,Off,Off,On,On,On,Off,On,Off,On,On,On,Off,On,On,On,On,Off,0.07219958305358887,2.811875343322754,"[70, 25, 1, 1, 20]",0.6242424242424242
Off,On,On,Off,Off,On,On,On,On,On,Off,On,Off,On,Off,On,On,On,On,Off,0.07235121726989746,2.7947394847869873,"[70, 25, 1, 1, 20]",0.6242424242424242
