time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
50,20,35000,4,0.5,0.9151515151515152,63.06039175987244,0
30,20,20000,10,0.5,0.8424242424242423,46.08270635604858,0
40,25,35000,4,0.5,0.9030303030303028,54.897126698493956,0
40,30,50000,10,0.5,0.8909090909090909,85.92987861633301,1
30,45,45000,10,0.5,0.8909090909090909,87.65324289798737,1
40,25,40000,4,0.5,0.7333333333333332,56.986163187026975,1
50,40,35000,4,0.5,0.8909090909090909,72.87639346122742,1
50,20,35000,6,0.5,0.8787878787878788,66.46035196781159,1
35,30,30000,6,0.7,0.5636363636363636,55.995392608642575,1
50,30,10000,6,0.5,0.3696969696969697,61.37319972515106,2
