8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,encode_time,avg_cpu_util,output_file_mb,bitrate_kbps,encode_fps,cost,fidelity
1,none,0,0.563434916903817,2,14,1,7,13.29941139798647,0:0,auto,1,275,4,umh,5,1,0,cbr,1,55.01,55.01,428.794765,72.207723,30336.674619,21.82,55.21920895576477,"['Action', '1080p', 60, '20s']"
0,p8x8,3,1.196972823358679,0,3,0,-12,37.64994576222741,5:-5,temporal,0,360,1,umh,28,1,1,cbr,0,16.34,16.34,923.80661,8.347138,3506.888355,74.03,16.521260499954224,"['Action', '1080p', 60, '20s']"
0,all,3,1.57560727741695,2,15,1,11,27.26697858298118,4:4,none,1,413,4,hex,21,0,0,vbr,0,65.53,65.53,467.266901,18.919097,7948.491754,18.31,65.72917938232422,"['Action', '1080p', 60, '20s']"
0,"p8x8,b8x8,i8x8,i4x4",1,0.7343332054176807,1,14,1,-10,44.104794507648165,1:-1,none,0,232,0,dia,46,0,1,cbr,0,12.47,12.47,1035.445068,5.021221,2109.568713,97.32,12.653266668319702,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",1,0.19420530454887877,0,2,0,9,37.30881962792866,5:5,auto,0,106,1,hex,35,1,1,none,0,14.93,14.93,619.691896,6.81498,2863.181521,81.07,15.125648498535156,"['Action', '1080p', 60, '20s']"
1,p4x4,3,0.14073929522469508,1,11,1,-3,35.72712789190228,-3:3,spatial,0,83,3,hex,28,0,0,cbr,1,11.69,11.69,675.534645,8.678685,3646.181308,103.42,11.895247459411621,"['Action', '1080p', 60, '20s']"
0,all,1,1.488227423655155,0,13,0,8,46.231660068595275,2:2,none,1,188,2,umh,4,0,1,vbr,0,17.15,17.15,976.209913,6.047541,2540.756953,70.5,17.349594354629517,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",3,0.804475063481719,1,6,0,-7,33.97420623108132,2:2,auto,0,364,3,hex,18,0,1,vbr,1,12.55,12.55,1020.318725,9.81089,4121.85529,96.64,12.754126787185669,"['Action', '1080p', 60, '20s']"
1,p4x4,3,0.9345696549145424,0,8,0,0,40.610497957817714,-6:6,none,1,75,1,dia,40,0,1,vbr,0,19.23,19.23,377.951118,7.754253,3257.799211,62.82,19.45182704925537,"['Action', '1080p', 60, '20s']"
0,p4x4,3,0.1890416517250646,0,14,0,2,39.10436351052296,-2:2,temporal,1,462,3,umh,55,1,0,none,0,14.92,14.92,1195.978552,8.195003,3442.971428,81.14,15.131953716278076,"['Action', '1080p', 60, '20s']"
1,p4x4,0,0.5451807374522688,1,9,0,-10,32.71468728732692,-5:5,none,1,414,4,hex,32,0,0,vbr,1,11.09,11.09,867.448151,15.131584,6357.241697,109.05,11.30346131324768,"['Action', '1080p', 60, '20s']"
0,none,1,1.159664329896471,0,10,0,-7,35.16233158333165,-6:6,none,0,186,0,hex,55,1,1,vbr,1,10.8,10.8,884.351852,14.076328,5913.896395,112.03,11.007673501968384,"['Action', '1080p', 60, '20s']"
1,p8x8,0,1.0990826881447395,1,9,1,-4,43.15352046774756,4:4,none,0,246,3,dia,57,0,1,none,1,11.42,11.42,752.889667,4.944352,2077.273688,105.87,11.633881092071533,"['Action', '1080p', 60, '20s']"
1,p4x4,2,0.7708489672940617,0,10,0,-8,43.49782256935881,-6:6,none,1,233,3,hex,62,1,0,vbr,0,11.47,11.47,745.422842,6.884484,2892.382589,105.36,11.678080558776855,"['Action', '1080p', 60, '20s']"
0,none,0,1.4854724797520733,0,13,1,-6,37.118736084240076,-5:5,none,1,210,0,dia,5,0,0,none,1,10.69,10.69,861.739944,12.119259,5091.671635,113.24,10.902538776397705,"['Action', '1080p', 60, '20s']"
0,none,3,1.3251576230149325,0,16,0,-3,13.255038594409914,5:-5,none,0,402,2,umh,54,0,0,none,1,20.26,20.26,1362.635735,123.360698,51827.605278,59.44,20.497132539749146,"['Action', '1080p', 60, '20s']"
1,p4x4,0,0.617187377561512,1,14,0,-6,32.403005573113106,3:3,temporal,1,471,0,hex,47,0,1,none,0,10.51,10.51,898.667935,13.568703,5700.627351,115.67,10.728628396987915,"['Action', '1080p', 60, '20s']"
1,p4x4,1,1.3630381602190496,0,0,1,-6,47.206667520989576,-6:6,temporal,1,73,0,dia,17,1,0,cbr,1,9.27,9.27,457.497303,2.968354,1247.096473,131.45,9.478142499923706,"['Action', '1080p', 60, '20s']"
0,p8x8,1,0.9241635568998174,1,15,0,-5,49.48472917969762,2:2,auto,1,70,4,dia,27,0,0,vbr,0,10.0,10.0,724.6,2.179068,915.493006,121.11,10.210127115249634,"['Action', '1080p', 60, '20s']"
0,p4x4,3,1.3707930527194572,1,15,0,-7,44.608934495427086,6:-6,auto,0,23,2,dia,52,0,0,cbr,0,13.72,13.72,464.067055,3.877216,1628.937268,88.33,13.929367065429688,"['Action', '1080p', 60, '20s']"
1,p8x8,1,1.4021007470569464,0,6,1,-8,49.37055924807306,-4:4,temporal,0,80,0,dia,24,1,0,cbr,1,10.01,10.01,710.789211,2.494935,1048.19858,120.99,10.182061672210693,"['Action', '1080p', 60, '20s']"
0,p4x4,0,1.921735283683353,0,11,0,-4,50.75872276483882,3:-3,none,1,328,2,dia,12,0,0,cbr,0,12.28,12.28,637.214984,4.95376,2081.226276,98.79,12.497101306915283,"['Action', '1080p', 60, '20s']"
0,all,3,0.20772171077315593,1,2,1,-8,47.647021109249614,-5:5,temporal,0,303,0,hex,51,1,0,cbr,1,9.66,9.66,815.010352,2.801557,1177.01968,125.29,9.855743646621704,"['Action', '1080p', 60, '20s']"
1,all,0,1.2706475847877108,1,3,0,-2,39.154675254177675,2:-2,temporal,0,95,1,dia,9,1,0,cbr,0,14.65,14.65,617.133106,6.380606,2680.687768,82.63,14.874607801437378,"['Action', '1080p', 60, '20s']"
1,all,2,1.1079312962145944,0,3,1,-7,43.29258797802836,-6:6,temporal,1,81,1,dia,58,0,0,cbr,0,14.23,14.23,590.16163,4.195465,1762.643309,84.82,14.42959713935852,"['Action', '1080p', 60, '20s']"
0,p4x4,1,1.7128567539395378,0,1,0,-4,45.04314655031947,6:6,auto,1,489,0,hex,58,1,0,cbr,0,9.09,9.09,637.40374,3.406876,1431.332731,134.27,9.306544303894043,"['Action', '1080p', 60, '20s']"
0,"p8x8,b8x8,i8x8,i4x4",3,0.15329228922081484,0,14,1,-3,45.420284500483596,2:-2,none,1,328,0,dia,26,1,0,vbr,0,12.93,12.93,1106.109822,6.666939,2800.985062,93.78,13.159003973007202,"['Action', '1080p', 60, '20s']"
