time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
45,45,30000,6,0.5,0.9757575757575757,73.13053650856018,0
50,35,20000,6,0.5,0.8909090909090909,66.4900892496109,0
30,20,20000,10,0.5,0.8181818181818182,45.56134021282196,0
55,30,45000,6,0.5,0.9393939393939393,84.59918503761291,1
50,35,40000,10,0.5,0.9393939393939393,92.34929926395417,1
50,20,35000,4,0.5,0.8060606060606059,63.440394163131714,1
40,25,40000,4,0.5,0.7696969696969697,57.2006187915802,1
30,45,45000,10,0.5,0.8787878787878788,86.69891753196717,2
40,30,50000,10,0.5,0.7212121212121211,85.27700579166412,2
50,30,10000,6,0.5,0.7212121212121211,60.06134779453278,2
