threads,connections,duration,post,spearman_corr,evaluated_time,front_level
8,50,10,True,0.8181818181818182,10.055203247070313,0
2,35,10,False,0.06666666666666665,10.0508362531662,0
8,35,10,False,0.5757575757575757,10.056989979743957,1
4,35,50,True,0.6727272727272726,50.116604471206664,1
8,50,50,False,0.6969696969696969,50.12696352005005,1
2,45,15,True,0.6484848484848483,15.068376088142395,1
8,35,10,True,-0.07878787878787878,10.053918552398681,1
8,40,10,True,-0.5272727272727272,10.056143379211425,2
2,45,40,True,0.6363636363636362,40.10649447441101,2
8,50,20,False,0.4666666666666666,20.081615996360778,2
