ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,On,Off,On,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,On,0.09256839752197266,0.45975828170776367,240512,2.3518309593200684,356663,1676,5.586085319519043,"[10, 50, 6, 4, 5]"
On,On,On,On,On,Off,On,Off,Off,On,On,Off,Off,On,On,On,On,On,Off,On,0.08761143684387207,0.4243037700653076,237848,2.199881076812744,356663,1676,5.165499925613403,"[10, 50, 6, 4, 5]"
Off,Off,Off,On,Off,On,Off,On,On,On,On,Off,Off,Off,On,On,Off,On,Off,On,0.08152580261230469,0.3936493396759033,236416,2.1797549724578857,356663,1676,5.099690675735474,"[10, 50, 6, 4, 5]"
Off,On,Off,Off,On,Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,On,Off,Off,0.08025622367858887,0.40733981132507324,237848,2.198575973510742,356663,1676,5.098095178604126,"[10, 50, 6, 4, 5]"
On,Off,On,Off,Off,Off,On,On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,Off,0.07899689674377441,0.4044978618621826,241944,2.237197160720825,356663,1676,5.137059211730957,"[10, 50, 6, 4, 5]"
On,Off,On,Off,Off,On,On,Off,On,Off,On,On,Off,Off,On,On,Off,On,On,On,0.08956027030944824,0.3987102508544922,237848,2.2390236854553223,356663,1676,5.121160507202148,"[10, 50, 6, 4, 5]"
On,Off,Off,On,On,On,Off,On,On,Off,Off,On,On,On,On,Off,On,Off,On,Off,0.07573580741882324,0.4195735454559326,241944,2.2127630710601807,356663,1676,5.069120645523071,"[10, 50, 6, 4, 5]"
Off,On,On,Off,Off,On,Off,On,Off,On,On,Off,On,On,Off,Off,Off,Off,On,Off,0.0905160903930664,0.4208648204803467,240512,2.1956427097320557,356663,1676,5.147259473800659,"[10, 50, 6, 4, 5]"
On,Off,Off,On,On,On,Off,On,On,Off,Off,On,On,On,On,Off,On,Off,On,Off,0.09606313705444336,1.4371707439422607,469384,4.278519153594971,828309,4503,8.206218957901001,"[10, 50, 6, 4, 10]"
On,Off,On,Off,Off,Off,On,On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,Off,0.07495975494384766,1.440403699874878,469384,4.263198137283325,828309,4503,8.21005916595459,"[10, 50, 6, 4, 10]"
Off,On,Off,Off,On,Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,On,Off,Off,0.09848165512084961,1.4413087368011475,465288,4.270753622055054,828309,4503,8.294399738311768,"[10, 50, 6, 4, 10]"
Off,Off,Off,On,Off,On,Off,On,On,On,On,Off,Off,Off,On,On,Off,On,Off,On,0.098876953125,1.4306120872497559,467960,4.264524221420288,828309,4503,8.35412311553955,"[10, 50, 6, 4, 10]"
On,Off,On,Off,Off,Off,On,On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,Off,0.08222007751464844,1.5572757720947266,504440,7.17152214050293,866233,4708,11.333789825439453,"[10, 50, 6, 4, 25]"
On,Off,Off,On,On,On,Off,On,On,Off,Off,On,On,On,On,Off,On,Off,On,Off,0.07557034492492676,1.5382080078125,504440,7.156914234161377,866233,4708,11.173901796340942,"[10, 50, 6, 4, 25]"
On,Off,Off,On,On,On,Off,On,On,Off,Off,On,On,On,On,Off,On,Off,On,Off,0.10393881797790527,5.501765727996826,1252968,34.7468798160553,2152160,10605,42.78077530860901,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,On,On,Off,Off,On,Off,0.08199501037597656,1.4376587867736816,467960,4.269083738327026,828309,4503,8.298127174377441,"[10, 50, 6, 4, 10]"
Off,On,Off,On,On,On,On,Off,Off,Off,Off,On,On,Off,On,Off,On,On,On,Off,0.0844573974609375,1.4311130046844482,469384,4.24239182472229,828309,4503,8.221908807754517,"[10, 50, 6, 4, 10]"
On,On,On,On,Off,Off,Off,Off,Off,On,On,On,Off,On,Off,On,On,On,Off,On,0.0883634090423584,1.4488210678100586,465288,4.255956172943115,828309,4503,8.19096565246582,"[10, 50, 6, 4, 10]"
On,On,On,Off,Off,Off,On,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,Off,On,0.08158612251281738,1.4573876857757568,469384,4.301052808761597,828309,4503,8.414124965667725,"[10, 50, 6, 4, 10]"
On,Off,On,On,On,Off,Off,On,On,Off,On,On,On,On,Off,On,Off,Off,On,On,0.09112334251403809,1.4531126022338867,465288,4.24924898147583,828309,4503,8.197508573532104,"[10, 50, 6, 4, 10]"
Off,Off,Off,Off,Off,On,On,On,On,On,Off,Off,On,On,Off,Off,Off,On,Off,Off,0.09076762199401855,1.4525256156921387,469384,4.25717306137085,828309,4503,8.415099143981934,"[10, 50, 6, 4, 10]"
On,On,On,Off,Off,Off,On,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,Off,On,0.08621549606323242,1.4869647026062012,504440,7.168309450149536,866233,4708,11.162326574325562,"[10, 50, 6, 4, 25]"
Off,Off,Off,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,On,On,Off,Off,On,Off,0.10195636749267578,1.5038056373596191,494808,7.1594579219818115,866233,4708,11.249372005462646,"[10, 50, 6, 4, 25]"
Off,On,Off,On,On,On,On,Off,Off,Off,Off,On,On,Off,On,Off,On,On,On,Off,0.11696004867553711,1.5209753513336182,504440,7.155834436416626,866233,4708,11.288909435272217,"[10, 50, 6, 4, 25]"
