8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,evaluated_time,fidelity_setting,corr
0,p8x8,2,1.195380953907058,0,4,0,1,49.801977859487394,-4:4,auto,1,321,0,hex,60,0,0,vbr,0,8.53,8.675113677978516,"['Action', '1080p', 60, '20s']",1
0,p4x4,0,1.270976006081585,0,12,1,1,49.801977859487394,5:-5,auto,1,326,0,hex,18,0,0,vbr,0,8.69,8.828806400299072,"['Action', '1080p', 60, '20s']",1
0,p4x4,1,1.270976006081585,0,12,1,1,49.801977859487394,-4:4,auto,1,326,0,hex,18,0,0,vbr,0,8.74,8.87581491470337,"['Action', '1080p', 60, '20s']",1
0,p4x4,0,1.270976006081585,0,12,1,1,49.801977859487394,1:-1,auto,1,326,0,hex,18,0,1,vbr,0,8.94,9.08452582359314,"['Action', '1080p', 60, '20s']",1
0,p8x8,2,0.11622057459669044,0,4,0,1,49.801977859487394,0:0,auto,1,445,4,hex,60,0,0,vbr,0,8.94,9.077572584152222,"['Action', '1080p', 60, '20s']",1
0,p8x8,0,1.270976006081585,0,12,0,11,49.801977859487394,5:-5,temporal,0,326,0,hex,12,0,0,vbr,0,9.08,9.22485899925232,"['Action', '1080p', 60, '20s']",1
0,p4x4,0,1.270976006081585,0,12,1,1,49.801977859487394,-4:4,auto,1,326,0,hex,18,0,0,vbr,0,9.12,9.276474952697754,"['Action', '1080p', 60, '20s']",1
0,p8x8,0,0.7963403618786435,2,0,0,8,49.801977859487394,0:0,temporal,0,445,4,hex,60,0,0,vbr,1,9.14,9.290262222290039,"['Action', '1080p', 60, '20s']",1
0,p8x8,0,0.7963403618786435,2,0,0,4,49.801977859487394,0:0,temporal,1,445,4,hex,60,0,0,vbr,1,9.17,9.311781644821167,"['Action', '1080p', 60, '20s']",1
0,p8x8,0,1.270976006081585,0,12,0,11,49.801977859487394,-4:4,temporal,1,326,0,hex,12,0,0,vbr,0,9.19,9.33608627319336,"['Action', '1080p', 60, '20s']",1
0,p8x8,0,0.7963403618786435,2,0,0,8,49.801977859487394,-4:4,temporal,1,326,4,dia,12,0,0,vbr,1,9.21,9.34907341003418,"['Action', '1080p', 60, '20s']",1
0,p8x8,0,0.7963403618786435,1,0,0,8,49.801977859487394,0:0,temporal,1,445,4,hex,60,0,0,vbr,1,9.22,9.356611490249634,"['Action', '1080p', 60, '20s']",1
0,p8x8,2,1.195380953907058,0,4,0,1,49.801977859487394,0:0,auto,1,445,0,hex,60,0,0,vbr,0,9.24,9.393489599227905,"['Action', '1080p', 60, '20s']",1
0,p4x4,0,0.7963403618786435,0,0,0,1,49.801977859487394,-6:6,temporal,0,445,0,dia,12,0,0,none,0,9.24,9.379897356033325,"['Action', '1080p', 60, '20s']",1
0,p8x8,0,1.6165306991556507,0,12,1,1,49.801977859487394,-4:4,auto,1,321,0,hex,60,0,0,vbr,0,9.27,9.405200719833374,"['Action', '1080p', 60, '20s']",1
0,p8x8,0,1.380266751513598,2,0,0,4,49.801977859487394,-4:4,temporal,1,326,4,dia,12,0,1,vbr,1,9.28,9.420960426330566,"['Action', '1080p', 60, '20s']",1
0,p8x8,0,0.7963403618786435,1,0,0,4,49.801977859487394,-4:4,temporal,0,445,4,dia,12,0,0,none,1,9.29,9.432260990142822,"['Action', '1080p', 60, '20s']",1
0,p8x8,0,0.7052634612966298,2,0,1,8,49.801977859487394,0:0,temporal,0,445,4,hex,60,0,0,vbr,1,9.3,9.46004843711853,"['Action', '1080p', 60, '20s']",1
0,p8x8,0,1.380266751513598,0,0,1,1,49.801977859487394,-4:4,none,1,326,0,dia,12,0,1,vbr,0,9.31,9.461068630218506,"['Action', '1080p', 60, '20s']",1
0,p8x8,0,1.380266751513598,2,0,0,4,49.801977859487394,-4:4,temporal,1,326,4,dia,12,0,0,vbr,1,9.32,9.469420671463013,"['Action', '1080p', 60, '20s']",1
