inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
80,15,2,3,10,0.006060606060606061,2.871524286270142,0
50,5,3,2,25,-0.16363636363636364,2.9524153232574464,1
50,5,2,4,10,-0.33333333333333326,2.920141911506653,1
80,25,3,4,35,-0.05454545454545454,6.58331995010376,1
90,5,2,1,25,-0.43030303030303024,2.8738353729248045,1
80,5,3,2,25,-0.309090909090909,2.9603211879730225,2
60,5,2,2,25,-1,73.66566777229309,3
90,10,2,1,35,-1,73.64063456058503,3
50,25,3,1,35,-1,73.30348403453827,3
50,10,2,1,35,-1,73.71985247135163,3
