threads,connections,duration,post,spearman_corr,evaluated_time,front_level
8,30,20,True,0.9757575757575757,20.086644768714905,0
8,50,40,True,0.9878787878787878,40.121038508415225,0
8,35,10,True,0.7818181818181817,10.07502326965332,0
8,50,20,True,0.9757575757575757,22.21912262439728,0
8,20,20,True,0.9030303030303028,20.077900648117065,0
2,15,45,True,0.9878787878787878,45.1007358789444,0
8,15,20,True,0.8666666666666665,20.08092713356018,1
8,45,60,True,0.9757575757575757,60.123378896713255,1
1,30,25,True,0.9636363636363635,25.097414445877074,1
6,25,55,True,0.9757575757575757,55.10451002120972,1
