inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
90,10,1,4,5,0.4424242424242424,2.78712911605835,0
60,25,2,2,10,0.5272727272727272,2.8428221225738524,0
70,5,1,2,10,0.23636363636363633,2.7918912410736083,1
50,20,3,2,15,0.29696969696969694,2.925997591018677,1
60,35,2,1,20,-0.5030303030303029,2.816789746284485,2
70,5,1,4,25,0.05454545454545454,2.9674636363983153,2
70,25,2,4,35,-0.0303030303030303,3.6215272665023805,3
80,25,2,2,20,-0.0303030303030303,3.1514075756073,3
80,20,2,3,15,-0.2121212121212121,3.034435772895813,3
90,20,3,3,25,-0.2727272727272727,3.466271686553955,4
