ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,Off,On,Off,Off,Off,On,On,0.08927440643310547,0.4479711055755615,241944,2.3460631370544434,356663,1676,5.5572192668914795,"[10, 50, 6, 4, 5]"
Off,Off,Off,On,Off,Off,Off,Off,On,On,Off,Off,Off,Off,On,Off,Off,On,On,Off,0.09100461006164551,0.42164039611816406,240512,2.206300973892212,356663,1676,5.060941934585571,"[10, 50, 6, 4, 5]"
On,Off,On,On,Off,On,On,Off,On,On,Off,On,On,On,On,On,Off,On,Off,Off,0.08121991157531738,0.39673566818237305,237848,2.191660165786743,356663,1676,5.066368103027344,"[10, 50, 6, 4, 5]"
Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,On,Off,On,On,Off,Off,Off,On,0.09008455276489258,0.39369988441467285,236416,2.205278158187866,356663,1676,5.068563938140869,"[10, 50, 6, 4, 5]"
On,Off,On,Off,On,On,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,On,On,On,0.08277606964111328,0.4065511226654053,241944,2.1957781314849854,356663,1676,5.070739269256592,"[10, 50, 6, 4, 5]"
On,Off,On,Off,Off,On,Off,Off,On,On,On,On,On,Off,Off,Off,On,On,On,Off,0.0950477123260498,0.3968327045440674,241944,2.203183889389038,356663,1676,5.142160654067993,"[10, 50, 6, 4, 5]"
Off,On,On,Off,Off,On,On,On,On,Off,Off,On,On,On,On,Off,Off,On,On,On,0.08583498001098633,0.40340089797973633,241944,2.188716173171997,356663,1676,5.080379247665405,"[10, 50, 6, 4, 5]"
On,Off,Off,On,Off,On,On,Off,On,On,On,On,Off,Off,On,On,Off,On,On,Off,0.08072900772094727,0.3956937789916992,237848,2.1854023933410645,356663,1676,5.133237838745117,"[10, 50, 6, 4, 5]"
On,Off,Off,On,Off,On,On,Off,On,On,On,On,Off,Off,On,On,Off,On,On,Off,0.07799839973449707,1.442706823348999,465288,4.278526544570923,828309,4503,8.227126359939575,"[10, 50, 6, 4, 10]"
On,Off,On,On,Off,On,On,Off,On,On,Off,On,On,On,On,On,Off,On,Off,Off,0.09326839447021484,1.4477174282073975,465288,4.260206460952759,828309,4503,8.270318984985352,"[10, 50, 6, 4, 10]"
