8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,encode_time,avg_cpu_util,output_file_mb,bitrate_kbps,encode_fps,cost,fidelity
1,all,3,1.2890446143021381,0,7,0,-12,0.5583248450687904,3:-3,temporal,0,499,3,hex,52,0,1,none,1,19.8,19.8,1063.787879,360.248638,151351.480345,62.05,20.22911810874939,"['Action', '1080p', 60, '20s']"
0,none,1,0.11069049470874537,2,4,0,11,13.82270072124936,6:-6,auto,1,317,0,umh,10,0,0,vbr,1,15.55,15.55,1054.533762,67.883158,28519.792512,77.68,15.768712997436523,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",0,0.5134985220302349,0,10,1,-6,10.306023807600281,5:-5,spatial,1,62,4,tesa,5,0,0,cbr,1,32.65,32.65,1463.277182,135.132534,56773.314044,36.91,32.86526346206665,"['Action', '1080p', 60, '20s']"
0,none,3,1.4243762949972991,1,7,0,3,15.736022258256181,5:5,none,0,378,1,dia,32,0,1,vbr,1,17.54,17.54,600.912201,59.017039,24794.864761,68.97,17.736712217330933,"['Action', '1080p', 60, '20s']"
1,none,2,1.7177575067206354,1,6,1,8,7.617404769135517,4:4,temporal,0,115,1,umh,22,1,0,cbr,0,19.98,19.98,790.14014,107.976086,45364.058809,60.54,20.18579387664795,"['Action', '1080p', 60, '20s']"
0,p8x8,3,0.8585113500224434,0,8,1,-8,45.49592492614345,4:-4,none,0,392,3,hex,6,1,0,none,1,11.2,11.2,791.696429,6.030693,2533.678756,107.91,11.39625072479248,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",2,1.6597580128357288,1,6,0,4,4.344497079409917,0:0,none,0,405,0,esa,53,1,0,cbr,0,142.87,142.87,1103.275705,131.82066,55381.894234,8.4,143.0911581516266,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",2,0.3870049960000876,2,12,0,5,43.807123188056764,1:1,spatial,1,335,2,dia,46,1,1,cbr,0,65.55,65.55,243.981693,3.321145,1395.314701,18.31,65.73522067070007,"['Action', '1080p', 60, '20s']"
0,all,3,1.9943977305172218,2,2,1,2,20.48381498701698,-2:2,none,0,183,1,hex,43,1,0,cbr,0,24.68,24.68,761.102107,35.947186,15102.513003,48.76,24.873599767684937,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",1,0.43015065198611774,2,1,1,-2,49.628793532823885,1:-1,none,1,315,2,dia,19,1,0,none,0,12.88,12.88,686.257764,3.260506,1369.838241,93.75,13.058497905731201,"['Action', '1080p', 60, '20s']"
0,p4x4,0,0.3189211518910275,0,16,0,-6,30.401420222602262,6:-6,temporal,0,269,3,dia,40,1,0,none,0,11.74,11.74,855.195911,24.484972,10286.886239,103.51,11.941967964172363,"['Action', '1080p', 60, '20s']"
0,all,2,0.5684451504559217,2,0,0,12,2.3704654042620477,3:3,none,0,189,4,hex,28,0,0,cbr,0,25.08,25.08,1075.677831,179.406986,75374.366688,48.13,25.298399686813354,"['Action', '1080p', 60, '20s']"
1,all,3,0.9114052903420693,2,11,1,10,35.124705034583044,-2:2,temporal,1,454,1,esa,8,1,1,none,1,91.18,91.18,225.246765,8.441882,3546.693096,13.16,91.36780500411987,"['Action', '1080p', 60, '20s']"
1,none,0,0.2317657989183322,0,0,0,10,8.663205524174739,-3:3,auto,0,295,3,tesa,31,0,1,none,1,30.1,30.1,878.870432,124.297917,52221.35993,40.09,30.316693544387817,"['Action', '1080p', 60, '20s']"
0,p8x8,1,1.2524369910172295,1,2,1,7,35.95584605383661,0:0,temporal,1,32,2,umh,60,1,0,vbr,1,20.13,20.13,1023.248882,8.140575,3420.104918,59.84,20.32315945625305,"['Action', '1080p', 60, '20s']"
1,all,1,1.1928504446834223,2,9,1,9,5.417345589771523,4:-4,spatial,0,431,3,esa,27,0,1,none,0,79.39,79.39,1135.533442,113.451595,47664.488019,15.12,79.5804352760315,"['Action', '1080p', 60, '20s']"
1,none,2,0.7700683951886688,1,14,1,-9,38.05013105298368,-3:3,auto,1,470,1,tesa,15,0,0,cbr,0,21.37,21.37,614.927468,6.414145,2694.778853,56.34,21.558349132537842,"['Action', '1080p', 60, '20s']"
1,p8x8,2,1.5087410044052134,1,10,1,4,19.896965145739777,6:6,spatial,0,440,2,tesa,36,0,1,none,0,66.27,66.27,925.396107,35.854726,15063.667862,18.11,66.4635112285614,"['Action', '1080p', 60, '20s']"
0,p4x4,0,0.994635265839914,0,4,1,1,39.88469717329178,1:-1,temporal,1,217,0,esa,18,1,1,cbr,0,12.8,12.8,1120.9375,6.396884,2687.526766,94.44,12.98901915550232,"['Action', '1080p', 60, '20s']"
1,p8x8,1,0.16187524948152066,1,5,1,-11,48.43715935675488,-1:1,spatial,0,98,0,tesa,56,0,1,vbr,1,34.43,34.43,1193.52309,2.573576,1081.238045,34.9,34.591747522354126,"['Action', '1080p', 60, '20s']"
0,"p8x8,b8x8,i8x8,i4x4",3,0.6399728851967813,2,2,1,-1,24.65802202185722,6:6,temporal,1,228,4,umh,50,1,0,cbr,1,34.33,34.33,902.563356,25.925155,10891.95107,35.05,34.52384352684021,"['Action', '1080p', 60, '20s']"
0,all,1,1.8867856351281016,2,15,0,-9,22.377782606489028,-5:5,none,1,242,0,tesa,26,1,0,vbr,0,97.3,97.3,1207.543679,34.804502,14622.436884,12.33,97.49974250793457,"['Action', '1080p', 60, '20s']"
0,none,0,0.6844239137496952,0,13,0,-4,33.805226177812344,-4:4,spatial,0,70,4,umh,63,1,0,cbr,0,16.32,16.32,1293.811275,15.214223,6391.960761,74.12,16.531320571899414,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",0,1.7688783084203246,2,15,1,-4,13.467745065100507,3:3,auto,1,39,1,dia,57,0,1,none,0,132.33,132.33,185.619285,64.313202,27019.944791,9.06,132.53644490242004,"['Action', '1080p', 60, '20s']"
0,p4x4,1,1.8035076628512654,0,14,0,-3,46.34058249819306,2:-2,auto,1,359,3,dia,35,0,1,vbr,1,11.54,11.54,632.322357,3.138571,1318.609661,104.78,11.725768327713013,"['Action', '1080p', 60, '20s']"
1,p4x4,0,1.3716323356951088,0,3,0,6,28.08232467233277,2:2,auto,0,149,4,hex,61,1,1,vbr,1,10.48,10.48,855.820611,19.579707,8226.03432,116.13,10.68480896949768,"['Action', '1080p', 60, '20s']"
0,p8x8,3,1.0861070175287675,1,7,0,-2,42.11224728766492,2:2,spatial,1,128,2,esa,12,1,1,vbr,1,15.55,15.55,785.85209,4.165493,1750.051123,77.55,15.738207817077637,"['Action', '1080p', 60, '20s']"
0,p8x8,2,1.0199821690853432,0,16,1,-7,17.35219933027307,5:-5,auto,1,12,2,esa,20,0,1,vbr,1,16.76,16.76,1284.24821,63.00607,26470.778723,72.06,16.933660745620728,"['Action', '1080p', 60, '20s']"
0,p4x4,1,1.5542996906245612,1,12,0,-11,25.704484319788133,5:5,none,1,152,0,hex,41,0,0,vbr,1,11.41,11.41,1000.788782,28.420829,11940.460168,106.54,11.607493162155151,"['Action', '1080p', 60, '20s']"
1,p4x4,2,0.02177279772803764,1,11,0,1,32.28352241807703,-6:6,auto,0,252,4,umh,48,0,1,none,0,13.79,13.79,1246.773024,12.300713,5167.90589,87.9,13.986289501190186,"['Action', '1080p', 60, '20s']"
0,p4x4,1,1.7917630878526192,0,5,0,5,44.73056305056537,5:5,none,0,216,1,dia,40,1,0,vbr,0,17.32,17.32,394.861432,5.35372,2249.261532,69.63,17.523579359054565,"['Action', '1080p', 60, '20s']"
0,none,0,1.874288077641018,0,13,0,5,3.1206745882866067,-2:2,none,1,122,4,umh,13,0,1,none,1,17.64,17.64,1401.303855,277.016024,116382.911179,68.28,17.898980140686035,"['Action', '1080p', 60, '20s']"
1,p8x8,1,0.033154968812818986,0,2,0,6,46.62655948377117,-4:4,auto,1,246,3,umh,63,0,0,none,0,19.3,19.3,887.720207,2.86609,1204.132067,62.39,19.496891021728516,"['Action', '1080p', 60, '20s']"
1,p4x4,0,0.6666036949526042,2,8,0,-2,1.6385835155240138,2:2,temporal,1,83,1,umh,7,0,1,vbr,1,64.32,64.32,277.78296,239.933068,100803.226497,18.68,64.59194326400757,"['Action', '1080p', 60, '20s']"
1,p4x4,1,1.3101917522499882,0,3,1,8,28.44329599191126,-3:3,temporal,1,464,3,esa,26,1,1,vbr,1,18.07,18.07,1412.119535,17.169225,7213.316875,66.9,18.274258375167847,"['Action', '1080p', 60, '20s']"
1,p4x4,2,0.7705375238457484,2,12,0,7,48.12571966009417,0:0,auto,0,269,4,hex,16,1,0,cbr,0,43.77,43.77,368.265936,2.141984,899.91304,27.43,43.974464654922485,"['Action', '1080p', 60, '20s']"
1,none,1,1.4456706833416264,1,9,1,5,29.654261064010484,0:0,auto,0,138,4,hex,60,0,0,none,1,11.19,11.19,864.343164,13.958893,5864.558166,108.64,11.396441221237183,"['Action', '1080p', 60, '20s']"
