ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,On,On,On,Off,On,Off,Off,On,On,Off,On,Off,On,On,Off,Off,Off,Off,Off,0.08768773078918457,0.2661106586456299,112728,0.3121309280395508,140021,719,3.2033281326293945,"[80, 35, 2, 2, 15]"
Off,On,Off,Off,Off,Off,On,Off,On,On,On,Off,On,Off,On,Off,Off,On,Off,Off,0.07727956771850586,0.2580833435058594,114152,0.2983524799346924,140021,719,3.2200381755828857,"[80, 35, 2, 2, 15]"
On,On,Off,Off,On,On,On,Off,Off,On,Off,On,Off,Off,On,On,Off,On,On,Off,0.08833503723144531,0.2358245849609375,110056,0.30211567878723145,140021,719,3.1034600734710693,"[80, 35, 2, 2, 15]"
On,Off,On,Off,Off,Off,Off,Off,On,Off,On,Off,Off,On,Off,On,On,Off,Off,Off,0.08978414535522461,0.2400510311126709,110056,0.327730655670166,140021,719,3.200460910797119,"[80, 35, 2, 2, 15]"
On,Off,On,On,Off,On,On,On,Off,On,On,Off,Off,On,Off,On,On,Off,Off,Off,0.09319019317626953,0.25417375564575195,110056,0.3011813163757324,140021,719,3.2576565742492676,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,Off,Off,Off,On,Off,On,On,Off,Off,On,Off,On,On,Off,On,Off,0.09524178504943848,0.2511115074157715,110056,0.31273388862609863,140021,719,3.173614501953125,"[80, 35, 2, 2, 15]"
On,On,Off,Off,Off,On,On,Off,Off,Off,Off,On,Off,Off,On,Off,Off,On,On,Off,0.07908225059509277,0.24564433097839355,114152,0.3065023422241211,140021,719,3.0542731285095215,"[80, 35, 2, 2, 15]"
Off,Off,On,On,On,On,On,On,On,On,Off,Off,On,Off,On,Off,Off,On,On,Off,0.09912991523742676,0.25203657150268555,114152,0.31474828720092773,140021,719,3.107652425765991,"[80, 35, 2, 2, 15]"
On,On,Off,Off,On,Off,Off,On,Off,Off,On,Off,On,Off,On,On,Off,Off,Off,On,0.10173797607421875,0.23900270462036133,110056,0.3013758659362793,140021,719,3.164397716522217,"[80, 35, 2, 2, 15]"
On,On,Off,On,On,On,On,On,Off,Off,Off,On,On,On,On,On,On,On,On,Off,0.0810384750366211,0.25344038009643555,110056,0.30692386627197266,140021,719,3.121495485305786,"[80, 35, 2, 2, 15]"
On,On,Off,On,On,On,On,On,On,Off,Off,On,Off,On,Off,Off,On,On,Off,Off,0.08538699150085449,0.22904062271118164,114152,0.2998330593109131,140021,719,3.1405982971191406,"[80, 35, 2, 2, 15]"
On,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,0.07477355003356934,0.2546730041503906,110056,0.3044779300689697,140021,719,3.1650657653808594,"[80, 35, 2, 2, 15]"
Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,Off,On,On,Off,On,Off,On,Off,On,0.08798623085021973,0.25478696823120117,108632,0.30863523483276367,140021,719,3.1021687984466553,"[80, 35, 2, 2, 15]"
Off,On,Off,Off,Off,Off,Off,Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,On,0.09527444839477539,0.2507209777832031,112728,0.3153526782989502,140021,719,3.1266469955444336,"[80, 35, 2, 2, 15]"
