ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,On,On,Off,Off,On,Off,On,On,On,Off,Off,Off,On,On,Off,Off,On,Off,Off,0.09723377227783203,5.628371953964233,1252968,34.958171367645264,2152160,10605,44.48086476325989,"[10, 50, 6, 4, 50]"
On,On,On,On,On,On,On,Off,On,On,Off,Off,On,Off,Off,On,Off,Off,On,Off,0.10101604461669922,5.487926244735718,1248872,34.60222005844116,2152160,10605,42.75740671157837,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,On,On,Off,Off,On,On,Off,Off,On,Off,Off,On,Off,On,0.08712649345397949,5.477349519729614,1252968,34.59504699707031,2152160,10605,42.5244722366333,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,On,On,Off,On,Off,Off,On,Off,Off,Off,Off,On,Off,On,Off,0.08381509780883789,5.528892755508423,1252968,35.127840518951416,2152160,10605,43.22877860069275,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,Off,Off,Off,Off,On,On,On,Off,On,On,On,Off,On,Off,0.07488679885864258,5.482802629470825,1251544,34.63378119468689,2152160,10605,42.810946464538574,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,On,Off,Off,Off,On,Off,On,On,On,On,On,On,On,On,On,Off,0.07837080955505371,5.539853572845459,1251544,34.60007047653198,2152160,10605,42.71383571624756,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,On,On,On,On,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,0.08741140365600586,5.489184617996216,1252968,34.58624839782715,2152160,10605,42.65168833732605,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,On,Off,On,Off,Off,Off,0.0970296859741211,5.506220102310181,1252968,34.7367844581604,2152160,10605,42.86941456794739,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,On,On,Off,On,Off,Off,On,On,Off,Off,On,Off,On,On,On,0.13065719604492188,5.538670301437378,1248872,34.622103691101074,2152160,10605,42.79590845108032,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,On,On,Off,On,Off,On,On,Off,On,On,Off,On,Off,Off,Off,0.08749032020568848,5.535483121871948,1252968,34.76500988006592,2152160,10605,42.81429123878479,"[10, 50, 6, 4, 50]"
