fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,On,On,Off,On,On,On,On,On,Off,On,On,On,Off,Off,Off,On,On,On,0.09877252578735352,0.2947654724121094,144520,2.2127623558044434,356663,1676,5.691908597946167,"[10, 50, 6, 4, 5]"
Off,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,On,On,Off,Off,Off,On,Off,0.08551764488220215,0.2686126232147217,140352,2.0753014087677,356663,1676,4.90416693687439,"[10, 50, 6, 4, 5]"
On,On,Off,On,On,On,Off,Off,On,On,Off,Off,On,Off,Off,On,Off,On,On,On,0.07237768173217773,0.27039361000061035,144448,2.096954107284546,356663,1676,4.820202350616455,"[10, 50, 6, 4, 5]"
Off,Off,Off,Off,Off,Off,On,Off,Off,Off,On,On,On,Off,Off,On,On,On,On,On,0.08210158348083496,0.2771027088165283,141424,2.1134183406829834,356663,1676,4.912455081939697,"[10, 50, 6, 4, 5]"
Off,Off,Off,Off,Off,Off,Off,On,On,On,Off,On,On,On,Off,On,Off,On,Off,Off,0.08388662338256836,0.27440404891967773,140424,2.131495952606201,356663,1676,4.984022617340088,"[10, 50, 6, 4, 5]"
Off,Off,On,On,On,On,On,On,On,On,Off,On,On,Off,On,Off,Off,Off,On,On,0.0886526107788086,0.2675764560699463,144520,2.117337465286255,356663,1676,4.9306960105896,"[10, 50, 6, 4, 5]"
On,Off,On,On,Off,Off,On,Off,Off,Off,Off,On,Off,On,On,Off,Off,On,Off,On,0.07652020454406738,0.2752814292907715,144448,2.085754871368408,356663,1676,4.843268632888794,"[10, 50, 6, 4, 5]"
Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,On,Off,Off,Off,On,On,On,On,0.08150029182434082,0.2556893825531006,145520,2.1284003257751465,356663,1676,4.813693523406982,"[10, 50, 6, 4, 5]"
On,On,Off,On,On,On,Off,Off,On,On,Off,Off,On,Off,Off,On,Off,On,On,On,0.09059977531433105,0.7390947341918945,205976,4.146230220794678,828309,4503,7.387334823608398,"[10, 50, 6, 4, 10]"
On,Off,On,On,Off,Off,On,Off,Off,Off,Off,On,Off,On,On,Off,Off,On,Off,On,0.07083582878112793,0.7300078868865967,205976,4.121710538864136,828309,4503,7.360499858856201,"[10, 50, 6, 4, 10]"
Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,On,Off,Off,Off,On,On,On,On,0.07597565650939941,0.7354545593261719,207208,4.120267391204834,828309,4503,7.307229280471802,"[10, 50, 6, 4, 10]"
Off,Off,Off,Off,Off,Off,On,Off,Off,Off,On,On,On,Off,Off,On,On,On,On,On,0.07874250411987305,0.7131083011627197,207208,4.117677211761475,828309,4503,7.420197248458862,"[10, 50, 6, 4, 10]"
On,Off,On,On,Off,Off,On,Off,Off,Off,Off,On,Off,On,On,Off,Off,On,Off,On,0.08751440048217773,0.6917002201080322,241456,6.7839744091033936,866233,4708,10.020195245742798,"[10, 50, 6, 4, 25]"
Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,On,Off,Off,Off,On,On,On,On,0.08507108688354492,0.6726362705230713,242608,6.747196674346924,866233,4708,9.96854543685913,"[10, 50, 6, 4, 25]"
