fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,Off,On,On,Off,On,On,On,Off,On,On,Off,Off,On,On,On,On,Off,Off,0.09584331512451172,1.7024641036987305,523384,34.333900690078735,2152160,10605,40.284199953079224,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,On,Off,Off,Off,On,Off,Off,On,On,Off,Off,Off,Off,On,On,0.10285115242004395,1.500680685043335,513704,34.16265511512756,2152160,10605,38.309004068374634,"[10, 50, 6, 4, 50]"
On,Off,Off,On,Off,On,On,Off,Off,On,Off,Off,Off,Off,Off,On,Off,On,On,Off,0.09919428825378418,1.520545244216919,521896,34.135324478149414,2152160,10605,38.37324500083923,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,Off,Off,On,On,Off,On,On,On,On,On,Off,On,Off,Off,On,0.09305691719055176,1.5414001941680908,515192,34.08922290802002,2152160,10605,38.30375099182129,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,Off,On,Off,Off,On,Off,On,Off,On,On,Off,On,Off,On,Off,0.08961200714111328,1.488067626953125,515000,34.11523222923279,2152160,10605,38.36782479286194,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,On,Off,On,On,Off,On,Off,On,Off,Off,On,Off,On,Off,On,0.09058523178100586,1.5218899250030518,522088,34.199533462524414,2152160,10605,38.451621532440186,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,On,On,On,On,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,0.09722208976745605,1.454618215560913,513896,34.090641260147095,2152160,10605,38.18610334396362,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,Off,Off,Off,Off,On,Off,On,On,Off,On,On,On,On,On,On,0.09033799171447754,1.478769302368164,523192,34.11241436004639,2152160,10605,38.358927726745605,"[10, 50, 6, 4, 50]"
Off,Off,On,On,Off,Off,On,Off,Off,Off,Off,On,On,On,Off,Off,Off,Off,On,Off,0.08607769012451172,1.4955065250396729,521896,34.11925530433655,2152160,10605,38.34282326698303,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,On,Off,On,On,On,On,Off,Off,Off,On,On,On,On,Off,On,0.07491493225097656,1.5226550102233887,515192,34.140897274017334,2152160,10605,38.29325890541077,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,On,On,On,On,On,On,Off,On,On,On,Off,On,Off,Off,Off,0.09857392311096191,1.5724871158599854,523384,34.14151978492737,2152160,10605,38.36676645278931,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,On,Off,On,On,On,0.0783236026763916,1.4805285930633545,513704,34.17771506309509,2152160,10605,38.296812772750854,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,Off,On,On,On,On,On,On,On,Off,Off,On,Off,On,Off,Off,0.08824634552001953,1.4997129440307617,513896,34.059303998947144,2152160,10605,38.15320706367493,"[10, 50, 6, 4, 50]"
