ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,On,Off,0.08729314804077148,5.645272970199585,1252968,34.83012008666992,2152160,10605,44.231372117996216,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,Off,Off,Off,On,On,On,Off,On,On,Off,Off,Off,Off,Off,On,0.08722472190856934,5.480821847915649,1255640,34.68757128715515,2152160,10605,42.757521629333496,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,On,Off,On,Off,On,Off,Off,Off,On,Off,Off,Off,On,On,0.0910634994506836,5.562998294830322,1252968,34.69893145561218,2152160,10605,42.85628414154053,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,On,On,Off,Off,On,Off,Off,Off,On,Off,On,On,Off,Off,On,0.09519195556640625,5.5355658531188965,1248872,34.642918825149536,2152160,10605,42.78537702560425,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,Off,Off,Off,On,On,Off,On,Off,On,Off,On,Off,On,Off,On,0.08690762519836426,5.53152322769165,1248872,34.81463074684143,2152160,10605,42.9624981880188,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,On,On,On,On,On,On,Off,On,On,Off,On,Off,On,On,Off,Off,0.08767414093017578,5.5028698444366455,1252968,35.0905339717865,2152160,10605,43.10702109336853,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,Off,On,On,On,Off,Off,On,On,Off,Off,Off,Off,Off,Off,On,0.0868992805480957,5.4946818351745605,1252968,34.85698676109314,2152160,10605,42.93306303024292,"[10, 50, 6, 4, 50]"
Off,Off,On,On,Off,On,Off,Off,Off,On,Off,Off,On,Off,On,Off,Off,On,Off,On,0.09278535842895508,5.501691102981567,1255640,34.71213221549988,2152160,10605,42.87585401535034,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,On,On,On,Off,Off,0.10564827919006348,5.484466314315796,1251544,34.8519983291626,2152160,10605,42.9696729183197,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,Off,Off,On,On,Off,Off,On,Off,Off,On,On,Off,Off,On,Off,0.08920454978942871,5.479620456695557,1248872,34.716752767562866,2152160,10605,42.705220222473145,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,Off,On,On,On,Off,Off,On,On,Off,On,On,Off,Off,Off,On,0.09857964515686035,5.54730749130249,1248872,34.701377868652344,2152160,10605,42.800719022750854,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,Off,On,Off,Off,Off,On,On,On,On,On,Off,On,On,Off,Off,0.09195256233215332,5.47738242149353,1252968,34.72683906555176,2152160,10605,42.675954818725586,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,On,On,On,On,Off,On,On,On,Off,Off,Off,On,On,Off,On,0.08843421936035156,5.538855791091919,1252968,34.67425560951233,2152160,10605,42.8062002658844,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,On,Off,Off,On,On,On,On,Off,On,On,Off,On,Off,On,Off,Off,0.08662104606628418,5.536554574966431,1251544,34.83272433280945,2152160,10605,43.028167724609375,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,On,Off,Off,On,On,On,Off,Off,Off,Off,Off,On,Off,On,Off,Off,0.08114099502563477,5.535552501678467,1248872,34.7082417011261,2152160,10605,42.7909140586853,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,On,On,On,Off,Off,Off,Off,Off,Off,On,On,On,Off,Off,0.07820606231689453,5.527961492538452,1248872,34.84108090400696,2152160,10605,43.00346350669861,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,On,Off,Off,On,Off,Off,Off,On,Off,Off,On,On,On,On,Off,0.07969856262207031,5.4875266551971436,1248872,34.688223361968994,2152160,10605,42.775755643844604,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,Off,Off,On,On,Off,On,Off,Off,Off,Off,Off,On,On,Off,Off,0.09125638008117676,5.515179634094238,1252968,34.87936472892761,2152160,10605,42.90305042266846,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,On,On,On,Off,Off,On,Off,On,Off,On,On,Off,Off,Off,0.08121848106384277,5.483479261398315,1248872,34.67151856422424,2152160,10605,42.727055311203,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,On,Off,On,On,Off,Off,On,Off,Off,On,On,On,Off,On,0.09337401390075684,5.496618270874023,1248872,34.84764623641968,2152160,10605,42.84396839141846,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,Off,On,Off,Off,On,Off,Off,Off,Off,On,Off,On,On,On,On,Off,0.09288287162780762,5.513283729553223,1248872,34.885727882385254,2152160,10605,42.937134742736816,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,On,Off,On,On,On,On,Off,Off,On,Off,Off,On,Off,On,On,Off,0.08878016471862793,5.480372905731201,1248872,34.876675605773926,2152160,10605,42.87222099304199,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,On,Off,On,Off,0.08881974220275879,5.502007246017456,1248872,34.73015379905701,2152160,10605,42.82128286361694,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,On,Off,On,On,Off,Off,Off,On,Off,Off,On,On,On,On,Off,0.10532808303833008,5.5373547077178955,1248872,34.70135259628296,2152160,10605,42.78076124191284,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,On,Off,Off,On,Off,On,Off,On,Off,Off,Off,On,On,On,Off,0.10398173332214355,5.520966291427612,1252968,34.67730665206909,2152160,10605,42.789238929748535,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,On,On,Off,On,On,Off,On,Off,Off,On,On,On,On,On,Off,0.10355401039123535,5.492159843444824,1248872,34.83249497413635,2152160,10605,42.94087862968445,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,Off,On,Off,On,On,Off,0.08793473243713379,5.498523235321045,1248872,34.847562074661255,2152160,10605,42.90549373626709,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,On,Off,Off,0.08822321891784668,5.488527536392212,1248872,34.83907151222229,2152160,10605,42.86808204650879,"[10, 50, 6, 4, 50]"
On,On,On,On,On,On,Off,On,Off,Off,Off,Off,On,On,Off,Off,On,On,Off,Off,0.08882021903991699,5.541263580322266,1252968,34.69063329696655,2152160,10605,42.82302737236023,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,Off,On,On,Off,On,Off,Off,On,Off,On,Off,On,Off,Off,0.09118914604187012,5.49229621887207,1248872,34.82072186470032,2152160,10605,42.8870325088501,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,On,On,On,On,Off,On,Off,Off,Off,Off,On,On,On,On,Off,0.08503603935241699,5.505155324935913,1248872,34.908886432647705,2152160,10605,43.03257656097412,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,On,Off,Off,On,Off,Off,Off,On,On,Off,On,On,On,On,On,0.09077072143554688,5.524486303329468,1248872,34.719078063964844,2152160,10605,42.82720422744751,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,Off,On,On,On,Off,Off,On,Off,Off,Off,On,On,On,On,Off,0.10246038436889648,5.490222930908203,1248872,34.68302369117737,2152160,10605,42.797194719314575,"[10, 50, 6, 4, 50]"
