time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
30,45,45000,10,0.5,0.5878787878787878,86.51998434066772,0
55,30,45000,6,0.5,0.5757575757575757,84.3327959537506,0
30,20,20000,10,0.5,0.4787878787878787,45.719721627235415,0
40,25,40000,4,0.5,0.4545454545454545,56.788800740242,1
40,30,50000,10,0.5,0.41818181818181815,86.2608894109726,2
50,30,10000,6,0.5,0.3939393939393939,59.82165915966034,2
50,20,35000,4,0.5,0.3696969696969697,62.83585789203644,3
45,45,30000,6,0.5,0.32121212121212117,72.67050991058349,4
50,35,20000,6,0.5,0.309090909090909,66.27107071876526,4
50,35,40000,10,0.5,0.34545454545454546,90.99881291389465,4
