inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
60,35,2,1,15,0.4787878787878787,2.81288685798645,0
80,25,1,2,35,0.4666666666666666,2.7507620334625242,0
50,15,1,2,5,-0.05454545454545454,2.782618856430054,1
70,20,1,4,15,0.2727272727272727,2.9020336866378784,1
80,15,2,2,25,0.29696969696969694,3.128042125701904,1
50,25,1,3,35,0.2606060606060606,2.7904282569885255,1
60,20,1,3,25,0.17575757575757575,3.073932933807373,2
50,25,1,2,35,0.13939393939393938,2.811811685562134,2
70,25,2,2,10,0.16363636363636364,3.0182267665863036,2
60,10,2,3,15,0.16363636363636364,2.964143657684326,2
