time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
40,25,40000,4,0.5,0.9272727272727272,54.49723935127258,0
30,20,20000,10,0.5,-0.01818181818181818,40.33809621334076,0
35,30,10000,6,0.7,-0.006060606060606061,42.790381932258605,0
40,40,35000,4,0.5,0.6848484848484848,57.737409710884094,1
45,20,20000,10,0.5,0.35757575757575755,55.97249813079834,1
45,45,30000,6,0.5,0.6727272727272726,66.10136067867279,2
50,30,10000,6,0.7,0.6,58.15092794895172,2
50,20,35000,4,0.9,0.6606060606060605,60.90817034244537,2
50,20,20000,6,0.5,0.6363636363636362,59.281924271583556,2
50,30,10000,6,0.5,-0.1515151515151515,57.82259831428528,2
