time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
40,40,40000,4,0.5,0.9151515151515152,66.1544712305069,0
30,25,15000,8,0.5,0.4787878787878787,45.041669845581055,0
50,40,10000,8,0.5,0.8545454545454544,65.99050841331481,0
45,35,10000,4,0.5,0.7818181818181817,54.530478835105896,0
35,35,25000,4,0.5,0.8060606060606059,57.02369875907898,0
45,45,25000,10,0.5,0.8666666666666665,78.67602698802948,1
30,30,25000,10,0.5,0.38181818181818183,70.26193370819092,1
35,25,50000,10,0.5,0.6606060606060605,72.26769070625305,1
40,30,30000,10,0.5,0.7212121212121211,87.9114328622818,2
55,35,40000,8,0.5,0.22424242424242422,92.66161940097808,3
