maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
11326,145,27350,36818,1305,362,106,true,38127,true,595375,51206,79565,true,30838,24633,31811,518,58112,6,2612.08,180.1340835094452,"[8, 50, 180, True]"
18799,710,44980,57575,49370,315,60,false,21235,false,358021,58357,12913,false,52969,12002,56966,228,88618,5,2625.47,180.09937596321106,"[8, 50, 180, True]"
14803,503,14859,1586,23512,458,273,true,3262,true,96842,37555,64384,true,4175,49790,22906,414,372601,7,2589.87,180.12207770347595,"[8, 50, 180, True]"
13261,969,11132,43343,63850,82,154,false,25557,true,460237,31393,88372,false,16036,40085,34927,100,161482,4,2728.65,180.12582206726074,"[8, 50, 180, True]"
16603,808,39329,18314,96873,234,334,true,54444,true,259253,46145,2900,false,33476,31315,7129,894,308318,10,2620.51,180.1251780986786,"[8, 50, 180, True]"
447,388,21292,32175,53549,267,479,true,42978,false,404308,9760,43026,true,49582,53742,59869,742,554555,2,2657.28,180.1242437362671,"[8, 50, 180, True]"
7953,218,55338,8735,79518,417,390,false,32074,false,5364,22111,96207,true,65519,5609,42641,375,473283,3,2654.91,180.12735772132874,"[8, 50, 180, True]"
3167,688,3251,15962,34309,145,413,false,11370,true,200670,27465,50930,false,21185,37741,15495,988,236567,8,2608.99,180.1199188232422,"[8, 50, 180, True]"
5393,483,32619,49361,15094,30,224,true,49432,false,526545,15024,21050,true,6679,64253,50315,135,493793,9,2639.46,180.11061239242554,"[8, 50, 180, True]"
8606,18,48079,27555,85342,154,21,false,15106,false,169312,2034,33948,false,43858,17743,3071,682,240071,1,2596.99,180.1267306804657,"[8, 50, 180, True]"
11326,145,27350,36818,1305,362,106,true,38127,true,595375,51206,79565,true,30838,24633,31811,518,58112,6,1629.81,35.09199142456055,"[8, 25, 35, True]"
18799,710,44980,57575,49370,315,60,false,21235,false,358021,58357,12913,false,52969,12002,56966,228,88618,5,1731.68,35.09535336494446,"[8, 25, 35, True]"
14803,503,14859,1586,23512,458,273,true,3262,true,96842,37555,64384,true,4175,49790,22906,414,372601,7,1715.48,35.10948991775513,"[8, 25, 35, True]"
13261,969,11132,43343,63850,82,154,false,25557,true,460237,31393,88372,false,16036,40085,34927,100,161482,4,1754.41,35.09787392616272,"[8, 25, 35, True]"
16603,808,39329,18314,96873,234,334,true,54444,true,259253,46145,2900,false,33476,31315,7129,894,308318,10,1783.51,35.10350227355957,"[8, 25, 35, True]"
447,388,21292,32175,53549,267,479,true,42978,false,404308,9760,43026,true,49582,53742,59869,742,554555,2,1848.54,35.103201150894165,"[8, 25, 35, True]"
