threads,connections,duration,post,spearman_corr,evaluated_time,front_level
8,35,20,True,0.4666666666666666,20.08828444480896,0
8,30,15,True,0.41818181818181815,15.075509810447693,0
8,35,15,True,0.06666666666666665,15.07499294281006,0
8,25,45,True,0.7333333333333332,45.11121175289154,0
8,25,35,True,0.4424242424242424,35.10036902427673,1
8,25,20,True,0.406060606060606,20.08418815135956,1
8,45,60,True,0.4424242424242424,60.08454563617706,1
8,15,45,True,0.38181818181818183,45.08083391189575,2
6,35,20,False,0.38181818181818183,20.088642382621764,2
4,35,20,True,-0.2606060606060606,20.087918162345886,2
