inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
50,15,1,2,10,-0.07878787878787878,2.8257200479507447,0
90,25,1,2,35,-0.33333333333333326,2.772899556159973,0
70,10,2,1,10,-0.07878787878787878,2.8230092763900756,0
80,5,3,1,20,0.32121212121212117,2.833326053619385,0
90,15,1,2,35,-0.07878787878787878,3.0393073320388795,1
70,20,2,1,25,-0.2606060606060606,2.8810096263885496,1
60,25,3,2,25,-0.10303030303030303,3.318483805656433,2
70,5,3,2,35,-0.5757575757575757,3.212903094291687,2
50,35,3,3,20,-0.34545454545454546,4.250902152061462,3
90,10,2,1,35,-1,73.66768069267273,4
