maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,evaluated_time,fidelity_setting,corr
3,42,48799,32861,85269,422,314,true,24807,false,173348,47356,71268,true,38278,26227,62835,35,459010,6,2049.25,10.07193922996521,"[8, 30, 10, True]",0.9146341463414634
15299,1,39213,44662,96942,16,469,true,1388,true,13877,33701,80328,false,64383,28549,16859,215,314671,6,1965.22,21.13196086883545,"[8, 30, 10, True]",0.9146341463414634
18613,459,57927,51332,58502,72,259,true,21926,false,399924,30494,92872,false,47750,11764,3216,984,200766,8,1102.33,10.051576375961304,"[8, 30, 10, True]",0.9146341463414634
8825,625,40566,18651,14852,328,168,false,36185,false,103049,27323,98929,false,49590,50401,38127,739,302173,4,1080.66,10.049703598022461,"[8, 30, 10, True]",0.9146341463414634
8483,483,35526,12744,21116,11,314,false,35359,false,3883,31111,93181,true,7214,16045,32717,828,406172,9,1079.62,10.0445077419281,"[8, 30, 10, True]",0.9146341463414634
10000,937,9958,8470,20747,4,104,true,53062,true,586859,54312,22323,false,1026,40076,31311,561,512066,8,1060.73,10.055320978164673,"[8, 30, 10, True]",0.9146341463414634
4086,496,45081,34404,67395,192,311,true,22590,false,500520,55091,73169,true,61304,10453,21567,243,468230,3,1050.58,10.05306077003479,"[8, 30, 10, True]",0.9146341463414634
9056,225,31517,20451,8255,80,111,false,43104,true,417902,12138,66856,true,41925,21999,23190,879,575410,2,1025.9,10.053144216537476,"[8, 30, 10, True]",0.9146341463414634
3696,381,22125,46532,3617,84,434,true,7962,false,29195,18441,83111,true,44749,15797,531,466,64427,3,1025.16,10.056560754776001,"[8, 30, 10, True]",0.9146341463414634
2100,553,3924,23426,95570,44,482,false,59437,true,567345,14247,5688,false,5858,16693,37219,272,352186,9,1012.7,10.052825689315796,"[8, 30, 10, True]",0.9146341463414634
2680,400,27995,34719,8941,95,405,true,54137,true,588718,28398,44868,false,48035,11399,62451,572,342130,7,970.13,10.051584243774414,"[8, 30, 10, True]",0.9146341463414634
2310,351,11515,41865,30497,76,289,false,36982,true,186326,41905,37859,true,58469,7245,15925,345,529424,3,967.67,10.053313732147217,"[8, 30, 10, True]",0.9146341463414634
6122,193,15730,33758,99263,306,75,false,33110,true,361803,2,86039,false,53384,9145,34857,289,416593,1,967.22,10.052384614944458,"[8, 30, 10, True]",0.9146341463414634
17634,172,49127,13956,4076,121,410,true,57908,false,44170,37893,46202,false,13685,17571,19726,919,568822,10,963.06,10.056644916534424,"[8, 30, 10, True]",0.9146341463414634
5675,870,55952,52691,80673,163,447,false,10274,true,197633,5520,96451,true,43486,38306,60639,97,369147,3,946.49,10.051487922668457,"[8, 30, 10, True]",0.9146341463414634
9897,987,58649,11933,54394,3,107,false,33768,false,160856,39984,81171,true,24752,17705,61417,860,596691,1,939.03,10.047998428344727,"[8, 30, 10, True]",0.9146341463414634
10082,92,51859,22215,88500,367,398,true,52670,false,387230,44080,1443,false,38365,49987,42419,457,259222,1,918.72,10.048949718475342,"[8, 30, 10, True]",0.9146341463414634
18062,521,1105,47704,96542,354,407,true,1523,false,84689,43201,90239,true,31955,15844,63189,862,544818,10,890.34,10.049248456954956,"[8, 30, 10, True]",0.9146341463414634
17684,914,20388,22831,84971,73,234,false,36570,true,4137,13739,82737,false,28256,7832,53359,247,134960,9,872.76,10.051949262619019,"[8, 30, 10, True]",0.9146341463414634
5577,867,54418,25333,10312,491,483,true,31446,true,473948,44380,19416,true,34294,28869,28603,903,363537,3,855.41,10.056315660476685,"[8, 30, 10, True]",0.9146341463414634
