threads,connections,duration,post,spearman_corr,evaluated_time,front_level
8,35,10,True,0.3536585365853659,8.043597197532653,0
4,30,55,True,0.8658536585365854,44.096603059768675,0
8,20,20,True,0.7073170731707318,16.05563340187073,0
8,35,50,True,0.7926829268292683,40.09742686748505,0
4,15,50,True,0.7560975609756098,40.05829083919525,0
8,30,20,True,0.6585365853658538,16.06027388572693,1
8,45,35,True,0.6829268292682927,28.089091324806212,1
6,40,55,True,0.7073170731707318,44.09823133945465,1
8,50,20,True,0.4146341463414635,16.06549801826477,2
8,35,35,True,0.6097560975609757,28.080024194717407,2
