inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
90,5,3,2,10,0.8060606060606059,2.942746114730835,0
90,5,3,1,5,-0.5393939393939393,2.806780695915222,0
80,35,3,2,15,0.2727272727272727,2.927871918678284,0
60,35,1,1,5,0.2121212121212121,2.8244700193405152,0
50,10,3,1,5,0.2727272727272727,2.858631467819214,0
90,35,1,3,35,0.33333333333333326,3.1970004558563234,1
90,35,1,4,10,-0.05454545454545454,2.8715664386749267,1
90,15,3,4,35,-0.5151515151515151,5.12603714466095,2
50,15,2,3,10,-0.7696969696969697,2.9084898710250853,2
80,5,1,4,15,-1,73.60072543621064,3
