inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
60,35,1,1,5,0.2121212121212121,2.8244700193405152,0
60,20,1,1,5,-0.13939393939393938,2.798009753227234,0
50,10,1,1,10,-0.0303030303030303,2.824398946762085,0
50,35,1,1,5,0.34545454545454546,2.843961477279663,0
90,5,3,2,5,0.8303030303030302,2.8506192922592164,0
50,5,1,1,10,0.38181818181818183,2.8470014572143554,0
90,5,3,1,5,-0.5393939393939393,2.806780695915222,1
90,5,3,2,10,0.8060606060606059,2.942746114730835,1
50,35,1,3,5,-0.04242424242424241,2.8525947093963624,1
50,10,1,3,5,0.5272727272727272,2.8901907205581665,1
