fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,On,On,Off,On,On,On,On,On,Off,Off,Off,On,Off,Off,On,On,On,On,0.10234808921813965,0.28299832344055176,145592,2.075401782989502,356663,1676,4.9529595375061035,"[10, 50, 6, 4, 5]"
Off,On,On,Off,On,On,On,Off,Off,Off,On,On,Off,Off,Off,On,Off,Off,On,Off,0.08643865585327148,0.324418306350708,140352,2.095242977142334,356663,1676,5.008917570114136,"[10, 50, 6, 4, 5]"
On,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,On,Off,Off,Off,On,On,On,On,0.08591675758361816,0.2796590328216553,141496,2.080409049987793,356663,1676,4.978978633880615,"[10, 50, 6, 4, 5]"
On,On,Off,Off,On,Off,Off,Off,Off,Off,On,On,On,Off,On,On,On,Off,Off,Off,0.09114575386047363,0.2589397430419922,141424,2.0944581031799316,356663,1676,5.027200937271118,"[10, 50, 6, 4, 5]"
Off,On,On,On,Off,Off,On,Off,On,Off,On,Off,On,On,On,Off,Off,Off,Off,Off,0.07661676406860352,0.2537546157836914,144448,2.0687122344970703,356663,1676,4.8492591381073,"[10, 50, 6, 4, 5]"
On,Off,On,On,On,Off,Off,Off,On,On,Off,Off,Off,On,Off,On,Off,Off,Off,On,0.08208775520324707,0.29526472091674805,144448,2.096815824508667,356663,1676,5.07119345664978,"[10, 50, 6, 4, 5]"
Off,Off,Off,On,On,On,Off,On,On,On,On,On,On,Off,On,Off,On,On,Off,On,0.09247422218322754,0.27889275550842285,145592,2.070676326751709,356663,1676,4.9297754764556885,"[10, 50, 6, 4, 5]"
Off,On,On,On,Off,Off,On,Off,On,Off,On,Off,On,On,On,Off,Off,Off,Off,Off,0.0980687141418457,0.7237699031829834,205976,4.1471827030181885,828309,4503,7.502702951431274,"[10, 50, 6, 4, 10]"
On,Off,On,On,On,Off,Off,Off,On,On,Off,Off,Off,On,Off,On,Off,Off,Off,On,0.08002471923828125,0.784780740737915,205976,4.1536431312561035,828309,4503,7.466671466827393,"[10, 50, 6, 4, 10]"
On,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,On,Off,Off,Off,On,On,On,On,0.09593081474304199,0.7632393836975098,207240,4.143847703933716,828309,4503,7.525995969772339,"[10, 50, 6, 4, 10]"
Off,On,On,Off,On,On,On,Off,Off,Off,On,On,Off,Off,Off,On,Off,Off,On,Off,0.08489322662353516,0.7253689765930176,205976,4.137680530548096,828309,4503,7.553568124771118,"[10, 50, 6, 4, 10]"
On,Off,On,On,On,Off,Off,Off,On,On,Off,Off,Off,On,Off,On,Off,Off,Off,On,0.09385132789611816,0.6785695552825928,241456,6.78501033782959,866233,4708,10.051921367645264,"[10, 50, 6, 4, 25]"
Off,On,On,Off,On,On,On,Off,Off,Off,On,On,Off,Off,Off,On,Off,Off,On,Off,0.08485054969787598,0.7430193424224854,241456,6.747191905975342,866233,4708,10.106796503067017,"[10, 50, 6, 4, 25]"
Off,On,On,Off,On,On,On,Off,Off,Off,On,On,Off,Off,Off,On,Off,Off,On,Off,0.08619070053100586,1.5152263641357422,513704,34.07773685455322,2152160,10605,38.11672329902649,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,Off,On,On,Off,Off,Off,On,On,Off,On,Off,Off,Off,Off,On,0.09740447998046875,0.7099385261535645,206008,4.161779403686523,828309,4503,7.542497396469116,"[10, 50, 6, 4, 10]"
Off,On,Off,Off,On,On,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,On,Off,On,0.09629321098327637,0.7964770793914795,205976,4.140257120132446,828309,4503,7.617958068847656,"[10, 50, 6, 4, 10]"
On,Off,Off,Off,Off,Off,On,On,Off,On,On,On,Off,On,Off,On,On,On,On,On,0.09842801094055176,0.7177667617797852,207240,4.14152717590332,828309,4503,7.476701021194458,"[10, 50, 6, 4, 10]"
