time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
30,25,10000,8,0.9,0.4787878787878787,37.797090363502505,0
30,30,15000,6,0.5,0.7212121212121211,39.65904467105865,0
35,25,15000,4,0.5,0.7212121212121211,42.79035339355469,0
30,25,15000,8,0.5,0.5878787878787878,39.70908019542694,1
35,35,25000,4,0.9,0.6484848484848483,47.76543133258819,1
45,45,25000,4,0.6,0.6848484848484848,60.262696266174316,1
30,35,15000,8,0.5,0.4424242424242424,42.16703898906708,2
30,30,40000,4,0.9,0.4424242424242424,46.39614839553833,2
35,35,25000,4,0.5,0.6121212121212121,47.807875752449036,2
30,30,25000,6,0.5,0.34545454545454546,43.697553634643555,3
