time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
30,20,20000,10,0.5,0.006060606060606061,41.478873705863954,0
35,20,40000,4,0.7,0.9030303030303028,46.94042556285858,0
55,25,35000,8,0.5,0.9393939393939393,71.60477342605591,0
35,30,10000,4,0.5,0.5515151515151515,42.2757390499115,0
35,20,10000,4,0.5,0.4424242424242424,41.58164684772491,0
35,20,20000,6,0.7,0.18787878787878787,43.808814787864684,1
40,35,50000,10,0.5,0.8666666666666665,75.86811401844025,1
40,30,10000,6,0.5,0.6242424242424242,48.25436923503876,1
50,25,35000,4,0.5,0.8424242424242423,62.49344980716705,1
35,25,50000,6,0.5,0.8181818181818182,53.92232263088226,1
