inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
60,5,1,1,10,0.49090909090909085,2.8395812034606935,0
50,35,2,1,5,0.33333333333333326,2.868650770187378,1
50,10,3,1,25,-0.04242424242424241,2.9836641788482665,2
50,25,2,2,25,0.19999999999999998,3.554421877861023,2
90,35,2,1,10,-0.05454545454545454,3.01891884803772,3
80,5,1,3,25,-0.2727272727272727,3.0162405967712402,3
90,35,2,3,10,-0.06666666666666665,3.197026181221008,4
80,20,3,2,35,-0.43030303030303024,3.3294469118118286,5
60,25,2,1,25,-1,73.69039747714996,6
80,25,3,1,15,-1,73.93079862594604,6
