fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,Off,On,On,On,Off,Off,On,On,Off,On,On,On,On,On,Off,Off,Off,Off,0.08021664619445801,1.7182319164276123,521896,34.255775928497314,2152160,10605,40.191181898117065,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,Off,On,Off,On,On,Off,Off,On,On,Off,On,Off,Off,On,On,Off,0.0876009464263916,1.554941177368164,513896,34.09967350959778,2152160,10605,38.387898445129395,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,Off,Off,Off,On,On,Off,Off,On,On,Off,On,On,On,On,On,0.09746146202087402,1.4584293365478516,523192,34.107426166534424,2152160,10605,38.360931158065796,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,Off,On,Off,Off,On,On,Off,Off,On,Off,Off,On,Off,On,On,0.09005975723266602,1.5139331817626953,515000,34.102505922317505,2152160,10605,38.29023098945618,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,On,Off,On,Off,On,Off,Off,Off,Off,Off,On,Off,Off,On,Off,0.09999871253967285,1.4997103214263916,522088,34.14339017868042,2152160,10605,38.33294224739075,"[10, 50, 6, 4, 50]"
Off,Off,On,On,On,On,On,On,On,Off,On,On,On,Off,On,Off,On,On,Off,On,0.0903327465057373,1.5082969665527344,523384,34.116695404052734,2152160,10605,38.278101444244385,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,On,Off,Off,Off,On,On,On,Off,Off,Off,Off,On,On,Off,On,0.0879051685333252,1.5193984508514404,515000,34.10298275947571,2152160,10605,38.3201265335083,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,Off,On,On,Off,Off,Off,On,On,Off,On,Off,Off,On,Off,On,0.09306144714355469,1.4902784824371338,513896,34.09943175315857,2152160,10605,38.23337507247925,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,Off,Off,On,On,Off,Off,On,Off,Off,On,Off,On,On,Off,Off,Off,0.10306668281555176,1.4857978820800781,523384,34.22561979293823,2152160,10605,38.47706627845764,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,Off,On,Off,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,0.08369112014770508,1.4936037063598633,513704,34.14912986755371,2152160,10605,38.34720540046692,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,On,Off,Off,On,On,Off,On,On,On,On,On,Off,Off,Off,Off,0.09605956077575684,0.21959996223449707,74016,0.5052938461303711,176407,1520,3.314391613006592,"[90, 15, 3, 4, 10]"
On,Off,Off,Off,Off,On,Off,On,On,Off,Off,On,On,Off,On,Off,Off,On,On,Off,0.08666324615478516,0.213670015335083,69920,0.47780466079711914,176407,1520,3.281827449798584,"[90, 15, 3, 4, 10]"
On,On,On,On,Off,Off,Off,Off,On,On,Off,Off,On,On,Off,On,On,On,On,On,0.08519697189331055,0.2183670997619629,75152,0.4770388603210449,176407,1520,3.2524526119232178,"[90, 15, 3, 4, 10]"
Off,On,On,Off,On,Off,On,Off,Off,On,On,Off,Off,On,Off,Off,On,Off,On,On,0.08235526084899902,0.22818732261657715,71056,0.48600077629089355,176407,1520,3.357520341873169,"[90, 15, 3, 4, 10]"
Off,On,On,On,On,On,Off,On,Off,On,Off,Off,Off,Off,Off,On,Off,Off,On,Off,0.08634305000305176,0.22643828392028809,74016,0.4760003089904785,176407,1520,3.282578468322754,"[90, 15, 3, 4, 10]"
Off,Off,On,On,On,On,On,On,On,Off,On,On,On,Off,On,Off,On,On,Off,On,0.10370135307312012,0.21296000480651855,75152,0.48032641410827637,176407,1520,3.300377607345581,"[90, 15, 3, 4, 10]"
Off,On,Off,Off,Off,On,Off,Off,Off,On,On,On,Off,Off,Off,Off,On,On,Off,On,0.08077478408813477,0.23206567764282227,71056,0.47582459449768066,176407,1520,3.3635406494140625,"[90, 15, 3, 4, 10]"
On,On,Off,Off,Off,Off,On,On,Off,Off,Off,On,On,Off,On,Off,Off,On,Off,On,0.08590579032897949,0.22283697128295898,69920,0.47426843643188477,176407,1520,3.3136508464813232,"[90, 15, 3, 4, 10]"
Off,Off,Off,On,Off,Off,On,On,Off,Off,On,Off,Off,On,Off,On,On,Off,Off,Off,0.07867980003356934,0.2247908115386963,75152,0.47660398483276367,176407,1520,3.3727681636810303,"[90, 15, 3, 4, 10]"
On,Off,On,Off,On,Off,On,Off,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,0.09756302833557129,0.24442172050476074,69920,0.46956849098205566,176407,1520,3.4195470809936523,"[90, 15, 3, 4, 10]"
On,Off,Off,On,On,On,Off,Off,On,On,Off,On,On,On,On,On,Off,Off,Off,Off,0.09584307670593262,0.3981342315673828,134360,0.3679330348968506,179870,1165,3.425075054168701,"[70, 35, 2, 4, 15]"
On,Off,Off,Off,Off,On,Off,On,On,Off,Off,On,On,Off,On,Off,Off,On,On,Off,0.09480738639831543,0.37885427474975586,134360,0.35277771949768066,179870,1165,3.295657157897949,"[70, 35, 2, 4, 15]"
On,On,On,On,Off,Off,Off,Off,On,On,Off,Off,On,On,Off,On,On,On,On,On,0.07921075820922852,0.3738675117492676,135416,0.32761430740356445,179870,1165,3.25276517868042,"[70, 35, 2, 4, 15]"
Off,On,On,Off,On,Off,On,Off,Off,On,On,Off,Off,On,Off,Off,On,Off,On,On,0.07977676391601562,0.37554287910461426,135416,0.32727694511413574,179870,1165,3.288299560546875,"[70, 35, 2, 4, 15]"
Off,On,On,On,On,On,Off,On,Off,On,Off,Off,Off,Off,Off,On,Off,Off,On,Off,0.09031963348388672,0.3660140037536621,134360,0.33522915840148926,179870,1165,3.3033885955810547,"[70, 35, 2, 4, 15]"
Off,Off,On,On,On,On,On,On,On,Off,On,On,On,Off,On,Off,On,On,Off,On,0.08902406692504883,0.3559122085571289,135416,0.31912994384765625,179870,1165,3.2878308296203613,"[70, 35, 2, 4, 15]"
Off,On,Off,Off,Off,On,Off,Off,Off,On,On,On,Off,Off,Off,Off,On,On,Off,On,0.08816170692443848,0.3869752883911133,135416,0.33544325828552246,179870,1165,3.239246129989624,"[70, 35, 2, 4, 15]"
On,On,Off,Off,Off,Off,On,On,Off,Off,Off,On,On,Off,On,Off,Off,On,Off,On,0.09750843048095703,0.37569451332092285,134360,0.32694363594055176,179870,1165,3.3317689895629883,"[70, 35, 2, 4, 15]"
Off,Off,Off,On,Off,Off,On,On,Off,Off,On,Off,Off,On,Off,On,On,Off,Off,Off,0.07703924179077148,0.3603243827819824,135416,0.33666348457336426,179870,1165,3.267117738723755,"[70, 35, 2, 4, 15]"
On,Off,On,Off,On,Off,On,Off,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,0.08966779708862305,0.36276984214782715,134360,0.3290438652038574,179870,1165,3.2373950481414795,"[70, 35, 2, 4, 15]"
On,Off,Off,On,On,On,Off,Off,On,On,Off,On,On,On,On,On,Off,Off,Off,Off,0.0875082015991211,0.37026548385620117,134360,0.34847021102905273,179870,1165,3.331505537033081,"[60, 35, 2, 4, 15]"
On,Off,Off,Off,Off,On,Off,On,On,Off,Off,On,On,Off,On,Off,Off,On,On,Off,0.0805819034576416,0.36615633964538574,134360,0.324155330657959,179870,1165,3.250877857208252,"[60, 35, 2, 4, 15]"
On,On,On,On,Off,Off,Off,Off,On,On,Off,Off,On,On,Off,On,On,On,On,On,0.08741426467895508,0.3918294906616211,135416,0.33985018730163574,179870,1165,3.3522086143493652,"[60, 35, 2, 4, 15]"
Off,On,On,Off,On,Off,On,Off,Off,On,On,Off,Off,On,Off,Off,On,Off,On,On,0.09053444862365723,0.401522159576416,135416,0.33936619758605957,179870,1165,3.323336362838745,"[60, 35, 2, 4, 15]"
Off,On,On,On,On,On,Off,On,Off,On,Off,Off,Off,Off,Off,On,Off,Off,On,Off,0.09128499031066895,0.37674617767333984,134360,0.33756208419799805,179870,1165,3.384366035461426,"[60, 35, 2, 4, 15]"
Off,Off,On,On,On,On,On,On,On,Off,On,On,On,Off,On,Off,On,On,Off,On,0.10584521293640137,0.36870551109313965,135416,0.3460044860839844,179870,1165,3.3446474075317383,"[60, 35, 2, 4, 15]"
