time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
50,35,20000,6,0.5,0.6969696969696969,62.57633092403412,0
40,40,35000,4,0.5,0.6848484848484848,57.3849157333374,0
35,30,20000,6,0.7,0.6606060606060605,46.838290333747864,0
30,35,20000,6,0.5,0.6484848484848483,42.69874279499054,0
30,20,20000,4,0.5,-0.13939393939393938,38.265906143188474,0
30,35,10000,6,0.9,0.4666666666666666,38.88556554317474,0
30,30,20000,6,0.9,0.5714312110592608,41.5025527715683,0
40,25,40000,4,0.5,0.6363636363636362,53.72498180866241,1
30,30,20000,6,0.5,0.5393939393939393,41.53804528713226,1
30,30,20000,6,0.7,0.4424242424242424,41.56309683322907,2
