time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
45,45,30000,6,0.5,0.9636363636363635,73.10016694068909,0
40,25,40000,4,0.5,0.6,57.95984544754028,0
30,20,20000,10,0.5,0.5272727272727272,46.000740218162534,0
30,30,45000,6,0.5,0.6969696969696969,59.171344780921935,0
40,45,40000,4,0.5,0.8060606060606059,69.48429872989655,0
50,20,35000,8,0.5,0.8424242424242423,70.84229884147643,0
40,25,30000,4,0.6,0.5636363636363636,54.16312050819397,0
40,20,20000,10,0.5,0.5272727272727272,55.88887841701508,1
55,30,45000,6,0.5,0.7818181818181817,83.87157461643218,1
45,45,30000,8,0.5,0.6848484848484848,79.82655653953552,1
