maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
16426,846,25659,2935,42663,485,244,true,4554,true,224288,48915,84267,false,55255,24943,14689,753,451194,8,2626.68,180.11200976371765,"[8, 50, 180, True]"
8999,290,39007,52547,98226,21,289,false,37814,false,362428,16553,37971,true,13791,63218,36741,266,292929,5,2674.75,180.12396478652954,"[8, 50, 180, True]"
4478,736,11187,22474,58663,167,88,true,57940,false,515880,11691,20265,false,16583,11606,24423,103,376354,3,2656.4,180.13234186172485,"[8, 50, 180, True]"
11885,182,53597,42031,169,327,379,false,16185,true,58697,39365,52121,true,41679,47819,59779,599,67767,6,2611.41,180.10042643547058,"[8, 50, 180, True]"
14736,608,33286,37092,21230,379,14,false,47514,false,578627,28966,7265,false,35809,5411,41154,642,92793,7,2613.8,180.11204481124878,"[8, 50, 180, True]"
2340,36,16189,26943,62541,95,454,true,28245,true,121743,55667,64094,true,27113,33470,5670,154,365466,1,2615.6,180.08805966377258,"[8, 50, 180, True]"
6842,998,47995,48081,80181,218,169,false,10988,true,274883,36273,96388,false,7409,22810,50884,495,167641,4,2629.59,180.13214874267578,"[8, 50, 180, True]"
19296,428,1834,7870,35550,308,362,true,36763,false,413310,3010,25119,true,65273,52871,28704,992,590616,9,2616.89,180.12476444244385,"[8, 50, 180, True]"
18078,648,52463,24336,90346,357,31,false,51322,false,539735,44898,32126,false,51029,38994,55116,38,128823,3,2578.64,180.09721326828003,"[8, 50, 180, True]"
5473,215,4867,32669,44159,135,498,true,24553,true,82851,9731,89336,true,9565,4045,25000,540,324749,6,2663.91,180.12080216407776,"[8, 50, 180, True]"
971,755,36816,12352,11065,56,128,false,14679,true,238774,22212,71252,false,20549,54377,45386,828,203680,9,2658.81,180.1016800403595,"[8, 50, 180, True]"
13517,328,20157,50629,53932,457,342,true,32954,false,377201,47067,358,true,45645,17398,1966,315,549890,5,2569.74,180.09500074386597,"[8, 50, 180, True]"
10761,902,14220,57439,73497,276,210,true,745,true,185396,4851,59031,false,39779,60446,20207,430,491930,4,2608.51,180.11535048484802,"[8, 50, 180, True]"
3191,454,58066,6011,16560,248,259,false,41505,false,323536,30622,13115,true,31083,31617,63499,932,256881,10,2646.66,180.1287965774536,"[8, 50, 180, True]"
7712,508,29628,39013,27828,66,114,true,54248,false,479771,57634,45031,false,3187,40997,10473,717,417062,8,2651.72,180.13295602798462,"[8, 50, 180, True]"
15301,66,42536,17522,81836,413,417,false,19994,true,22587,23426,77262,true,61051,14266,40461,204,31747,2,2678.89,180.11604404449463,"[8, 50, 180, True]"
16220,538,5914,46375,5597,226,310,false,55098,false,109894,52624,79152,false,34621,50984,43323,525,478653,2,2658.53,180.12647199630737,"[8, 50, 180, True]"
8668,106,49262,9708,59400,253,222,true,20902,true,553012,27791,48507,true,25909,20661,8159,21,263090,6,2462.13,180.1041157245636,"[8, 50, 180, True]"
2857,927,21558,35328,95814,434,405,false,3586,true,406152,427,18349,false,4141,35601,53053,363,403492,8,2566.56,180.13563108444214,"[8, 50, 180, True]"
10469,500,33968,28607,38691,87,63,true,44405,false,244576,35572,59552,true,61989,7308,31193,874,38249,5,2649.53,180.11138224601746,"[8, 50, 180, True]"
12598,792,58658,20417,33296,143,447,true,11895,true,318018,17730,6056,false,56075,45924,12442,886,101190,4,2609.71,180.1236469745636,"[8, 50, 180, True]"
15,344,11561,43987,76367,366,20,false,30229,false,156161,51959,72286,true,14595,9465,34430,382,354689,9,2699.91,180.12657499313354,"[8, 50, 180, True]"
5806,680,43247,1053,68029,446,353,true,50297,false,9612,40064,92129,false,19483,65373,22176,221,176340,7,2571.29,180.0936348438263,"[8, 50, 180, True]"
18370,238,27087,54561,22028,45,179,false,23586,true,452426,14272,36456,true,44563,26816,57468,731,579536,1,2665.69,180.12548828125,"[8, 50, 180, True]"
19588,955,40214,40911,51632,121,473,true,8087,true,354127,33666,30920,false,38848,15895,18200,311,136644,8,2652.13,180.12319421768188,"[8, 50, 180, True]"
7175,400,22619,15524,7200,406,57,false,33920,false,192270,6027,97526,true,30135,43404,61940,801,314547,5,2613.27,180.11979126930237,"[8, 50, 180, True]"
1384,564,54690,59512,49693,283,319,true,46605,false,48504,26007,66989,false,175,29232,8466,583,211785,3,2623.27,180.11665964126587,"[8, 50, 180, True]"
13817,11,8031,4071,91196,194,150,false,27395,true,491319,58332,11700,true,58023,58803,38902,89,539404,7,2626.37,180.11659741401672,"[8, 50, 180, True]"
11593,717,17089,14132,87211,16,270,false,58906,false,146002,8556,53918,false,52105,19034,57013,169,518776,7,2709.21,180.10554003715515,"[8, 50, 180, True]"
4145,146,30935,48982,28519,480,201,true,17210,true,589121,41855,23649,true,10625,56776,26705,658,227654,2,2546.14,180.12690901756287,"[8, 50, 180, True]"
11596,709,17001,14135,85934,37,265,false,58949,false,152097,9460,55784,false,52099,20074,54989,338,518301,7,2634.25,180.13441371917725,"[8, 50, 180, True]"
17194,654,16733,14153,85425,6,325,true,41630,false,568754,22540,59081,false,28267,56303,57218,546,519330,7,2692.88,180.1344656944275,"[8, 50, 180, True]"
5774,712,15518,22883,58383,455,89,false,4489,false,539385,2016,80879,true,12703,50908,2080,425,561140,4,2613.78,180.10371136665344,"[8, 50, 180, True]"
11603,717,17089,14132,87211,15,270,false,58292,false,145763,8613,53918,false,51690,56414,57013,161,518848,7,2696.88,180.08111429214478,"[8, 50, 180, True]"
13610,716,17081,14103,90961,78,270,false,58837,false,145960,8556,53931,false,52149,33246,57256,169,527556,8,2610.68,180.1307921409607,"[8, 50, 180, True]"
5187,949,48822,34806,63421,82,221,true,31012,true,54641,44036,1596,true,4896,48883,10234,981,209121,3,2655.84,180.13096690177917,"[8, 50, 180, True]"
14338,237,12677,17901,22857,79,97,false,54320,false,27889,39723,99094,false,13913,5767,59871,311,65396,7,2637.43,180.1180238723755,"[8, 50, 180, True]"
3188,657,20435,41564,85397,228,97,false,17772,true,141998,42123,97783,true,6885,22711,41462,967,166918,7,2618.23,180.1237335205078,"[8, 50, 180, True]"
11592,637,16837,14111,87212,30,107,false,59253,false,151266,8642,53953,false,19104,19033,56761,170,505424,7,2680.21,180.13363361358643,"[8, 50, 180, True]"
11489,971,17089,14131,87204,15,316,false,15770,false,197574,8627,53919,false,57048,19494,57203,169,516705,7,2702.45,180.129168510437,"[8, 50, 180, True]"
11611,739,43529,11882,87339,16,286,false,43708,false,144564,4890,53212,false,52528,19023,57581,170,502836,7,2664.46,180.12923383712769,"[8, 50, 180, True]"
13786,717,17088,8910,87935,16,269,false,58744,false,178452,8445,53918,false,52104,19013,58542,219,518775,7,2674.7,180.1250615119934,"[8, 50, 180, True]"
9937,732,20292,40231,83900,27,281,false,47777,false,145650,10198,54190,false,52070,19034,56833,200,542799,7,2689.96,180.09376621246338,"[8, 50, 180, True]"
11542,717,17741,19401,91204,39,394,false,58598,false,282207,8859,53917,false,50433,19259,62615,167,533654,7,2588.99,180.12583088874817,"[8, 50, 180, True]"
11549,620,16427,18639,87261,10,270,false,45881,false,146002,8605,53287,false,51483,21701,57015,172,518776,7,2652.73,180.08505725860596,"[8, 50, 180, True]"
11594,717,17094,14133,87214,42,328,false,59774,false,155777,8556,53918,false,52085,19035,56606,169,518776,7,2661.34,180.12294101715088,"[8, 50, 180, True]"
