maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,evaluated_time,fidelity_setting,corr
196,332,35262,5171,57761,162,415,true,7569,true,18162,31915,28587,false,56894,28919,37883,865,145764,9,1367.85,15.066937923431396,"[10, 30, 15, True]",0.5030303030303029
8915,657,32144,40461,95271,148,88,false,27738,true,212396,54160,34380,true,24350,19304,49389,814,374666,2,1300.74,15.070043802261353,"[10, 30, 15, True]",0.5030303030303029
6666,735,34806,26142,33290,16,200,false,50541,true,24965,42716,92079,true,47134,6339,63363,881,329940,5,1292.74,15.067830324172974,"[10, 30, 15, True]",0.5030303030303029
196,332,32912,33560,21824,162,370,false,18284,true,18162,41952,66525,false,59098,28919,31650,865,145764,9,1273.71,15.063347101211548,"[10, 30, 15, True]",0.5030303030303029
6666,482,31202,26142,96172,434,200,false,50541,true,388643,42716,92079,true,52961,2116,22139,905,3421,5,1262.88,15.06222677230835,"[10, 30, 15, True]",0.5030303030303029
196,550,32912,40461,21824,162,88,false,27738,true,212396,59151,34380,true,59098,51308,49389,453,374666,7,1259.41,15.065943002700806,"[10, 30, 15, True]",0.5030303030303029
11591,550,15969,5187,86154,222,333,true,15722,false,360130,28881,42710,true,44961,51308,33381,173,243464,7,1246.03,15.07487964630127,"[10, 30, 15, True]",0.5030303030303029
8915,657,32144,5187,43598,4,333,false,38262,true,443531,45237,42710,true,8868,19304,33381,975,243464,1,1245.33,15.06851577758789,"[10, 30, 15, True]",0.5030303030303029
196,95,32144,40461,21824,148,88,false,18284,false,212396,54160,66525,false,59098,28437,49389,814,145764,2,1244.42,15.073108196258545,"[10, 30, 15, True]",0.5030303030303029
8915,657,32144,5187,95271,148,409,false,42148,true,360130,41952,42710,true,8868,19304,33381,975,66237,2,1241.89,15.067972421646118,"[10, 30, 15, True]",0.5030303030303029
196,657,32144,40461,21824,148,88,false,18284,false,212396,54160,66525,false,59098,28919,49389,814,145764,2,1241.26,15.071726322174072,"[10, 30, 15, True]",0.5030303030303029
196,657,32144,40461,21824,148,88,false,18284,false,212396,54160,66525,true,59098,28919,49389,814,145764,2,1240.85,15.06685209274292,"[10, 30, 15, True]",0.5030303030303029
11591,550,7309,5187,43598,222,333,true,38262,true,443531,28881,42710,true,19652,15947,48074,572,243464,1,1238.93,15.068406105041504,"[10, 30, 15, True]",0.5030303030303029
196,482,10776,33560,78199,434,132,false,53715,false,388643,42716,12568,true,22570,2116,22139,881,145764,10,1235.34,15.069672584533691,"[10, 30, 15, True]",0.5030303030303029
196,657,32144,40461,21824,162,88,false,27738,true,212396,41952,66525,false,24350,28919,49389,814,145764,2,1233.97,15.073109149932861,"[10, 30, 15, True]",0.5030303030303029
196,332,32912,3720,78199,16,132,false,18284,false,18162,49127,66525,true,22570,28919,7744,881,329940,10,1229.87,15.069824695587158,"[10, 30, 15, True]",0.5030303030303029
5371,482,31202,6929,96172,434,132,true,53715,false,388643,53101,98336,true,52961,2116,22139,905,3421,10,1229.42,15.069870471954346,"[10, 30, 15, True]",0.5030303030303029
11591,550,7309,5187,43598,222,333,true,38262,true,122988,28881,42710,false,19652,15947,48074,572,243464,1,1224.48,15.072791337966919,"[10, 30, 15, True]",0.5030303030303029
6666,657,31202,5187,96172,148,200,false,50541,true,360130,41952,92079,true,52961,2116,33381,975,66237,5,1224.29,15.071590423583984,"[10, 30, 15, True]",0.5030303030303029
5371,735,10776,3720,78199,16,132,true,53715,false,493023,49127,12568,true,22570,6339,7744,881,329940,10,1224.21,15.065254926681519,"[10, 30, 15, True]",0.5030303030303029
