inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
70,10,1,1,15,0.12727272727272726,2.8106843709945677,0
90,10,3,2,10,0.4787878787878787,2.8466399669647218,0
70,15,1,2,15,0.34545454545454546,2.834568738937378,0
50,10,1,1,15,0.23636363636363633,2.8267901659011843,0
60,10,3,4,10,0.5878787878787878,3.479254961013794,0
70,15,1,1,10,-0.16363636363636364,2.8155757665634153,1
90,20,2,4,35,0.4424242424242424,4.540101361274719,1
70,15,1,1,35,0.309090909090909,2.8939400911331177,1
80,10,3,2,10,0.12727272727272726,2.8595571517944336,1
70,15,1,1,15,-0.01818181818181818,2.8509592533111574,1
