threads,connections,duration,post,spearman_corr,evaluated_time,front_level
8,35,35,True,0.9757575757575757,35.098616695404054,0
8,35,10,True,0.7818181818181817,10.094773769378662,0
8,35,25,True,0.9515151515151514,25.103821873664856,0
8,50,35,True,0.9757575757575757,35.09263625144958,0
8,40,25,True,0.8909090909090909,25.102551651000976,0
8,15,25,False,0.8303030303030302,25.092934250831604,0
8,30,20,True,0.5272727272727272,20.082324314117432,1
8,25,55,True,0.9636363636363635,55.10421562194824,1
4,35,35,True,0.6121212121212121,35.10125539302826,1
8,50,40,True,0.9393939393939393,40.104356956481936,1
