maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,1300.67,20.078301429748535,"[8, 50, 20, True]"
200,100,20000,20000,8192,10,200,false,30000,false,300000,5000,2048,false,8192,8192,8192,100,60000,5,1383.12,20.07630968093872,"[8, 50, 20, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,false,8192,8192,8192,100,60000,5,1248.22,20.078456163406372,"[8, 50, 20, True]"
200,100,20000,20000,8192,10,200,false,30000,false,300000,5000,2048,false,8192,8192,8192,100,60000,5,1815.71,40.10316562652588,"[8, 50, 40, True]"
200,100,20000,20000,8191,10,200,false,30000,false,300000,5000,2048,false,8192,8192,8192,101,60000,5,1789.67,40.11492657661438,"[8, 50, 40, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,1868.96,40.11091589927673,"[8, 50, 40, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,1911.67,40.110196113586426,"[8, 50, 40, True]"
692,641,18522,27109,88955,381,256,true,58603,false,111514,47711,77170,false,64096,28235,52086,824,19464,1,1846.1,40.116151571273804,"[8, 50, 40, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,2557.49,90.09362030029297,"[8, 50, 90, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,2477.14,90.09127235412598,"[8, 50, 90, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,2719.45,180.12270522117615,"[8, 50, 180, True]"
10085,446,5014,1791,8913,442,470,true,3333,false,31289,15965,12758,false,44079,25651,62270,952,465207,5,1758.37,40.10174322128296,"[8, 50, 40, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8193,100,60000,5,1899.16,40.11835956573486,"[8, 50, 40, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,false,8192,8192,8192,100,60000,5,1784.98,40.10093641281128,"[8, 50, 40, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,4,1889.86,40.106329917907715,"[8, 50, 40, True]"
200,101,20000,20000,8192,10,200,false,30000,true,299999,5000,2048,false,8192,8192,8192,100,60000,5,1771.3,40.123108863830566,"[8, 50, 40, True]"
200,100,20000,20000,8192,10,200,false,30000,false,300000,5000,2048,false,8192,8192,8192,100,60000,5,1815.5,40.10746717453003,"[8, 50, 40, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,1855.07,40.106064558029175,"[8, 50, 40, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8193,100,60000,5,2466.05,90.09457325935364,"[8, 50, 90, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,4,2403.48,90.10119843482971,"[8, 50, 90, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,2510.43,90.10490369796753,"[8, 50, 90, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,2678.81,180.11435914039612,"[8, 50, 180, True]"
200,100,20000,20000,8192,9,200,true,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,2457.33,90.11367440223694,"[8, 50, 90, True]"
200,100,20000,20000,8192,10,200,false,30000,false,300000,5000,2048,true,8192,8192,8192,100,60000,5,2446.86,90.09698009490967,"[8, 50, 90, True]"
200,100,20000,20000,8192,10,200,false,30000,false,300000,5000,2048,true,8192,8192,8192,100,60000,5,2511.54,90.1034483909607,"[8, 50, 90, True]"
200,100,20000,20000,8192,10,200,false,30000,false,300000,5000,2048,true,8192,8192,8192,100,60000,5,2499.86,90.10080528259277,"[8, 50, 90, True]"
200,100,20000,20000,8192,10,200,true,30000,false,300000,5000,2048,true,8192,8192,8192,100,60000,5,2441.53,90.10256600379944,"[8, 50, 90, True]"
200,100,20000,20000,8192,10,200,false,30000,false,300000,5000,2048,true,8192,8192,8192,100,60000,5,2692.5,180.12273621559143,"[8, 50, 180, True]"
200,100,20000,20000,8192,10,200,false,30000,false,300000,5000,2048,true,8192,8192,8192,100,60000,5,2790.45,180.11603593826294,"[8, 50, 180, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,2711.24,180.12098336219788,"[8, 50, 180, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,4999,2048,true,8192,8191,8192,100,60000,5,2692.71,180.12286639213562,"[8, 50, 180, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,false,8192,8192,8192,100,60000,5,2719.67,180.09315967559814,"[8, 50, 180, True]"
200,100,20000,20000,8192,10,200,true,30000,true,300000,5000,2048,false,8192,8192,8192,100,60000,5,2707.12,180.1200144290924,"[8, 50, 180, True]"
200,100,20000,20000,8192,10,200,true,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,2689.19,180.12133884429932,"[8, 50, 180, True]"
6464,547,10369,32001,14264,96,79,false,48210,true,153908,24417,83894,true,37094,54556,60383,138,76824,1,892.91,10.056718111038208,"[8, 50, 10, True]"
180,462,54720,6867,44271,200,485,false,18311,true,581955,15855,50386,false,5417,13295,4720,272,377522,2,849.49,10.050210952758789,"[8, 50, 10, True]"
11118,916,19653,12100,5856,154,137,true,3352,false,372675,13754,22140,false,48829,61307,51002,771,296032,6,866.04,10.042581558227539,"[8, 50, 10, True]"
4116,789,4079,24197,32106,420,400,false,43289,true,253228,939,2383,false,19266,22980,39606,907,526938,7,824.05,10.052675724029541,"[8, 50, 10, True]"
16250,645,26561,45857,87760,317,326,true,24210,false,2752,52076,31079,true,50686,963,15834,499,59894,4,867.84,10.056782007217407,"[8, 50, 10, True]"
12983,30,36086,40085,81997,304,210,true,59765,false,514219,55422,65141,false,28720,33106,32188,3,370119,9,599.76,10.045233964920044,"[8, 50, 10, True]"
19921,337,41275,16578,52061,20,284,true,30142,true,77863,33227,42810,true,11913,48221,42819,588,504272,8,879.51,10.043419361114502,"[8, 50, 10, True]"
9653,170,50634,54242,67547,443,4,false,9808,false,443049,44644,92702,true,59298,31427,23258,749,164349,5,710.6,10.049841403961182,"[8, 50, 10, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,false,8192,8191,8192,100,60000,5,781.52,10.042412757873535,"[8, 50, 10, True]"
200,99,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,false,8192,8192,8192,100,60000,5,782.22,10.042096614837646,"[8, 50, 10, True]"
200,100,20000,20000,8193,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,830.85,10.05042552947998,"[8, 50, 10, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8191,8192,100,60000,5,838.06,10.047659635543823,"[8, 50, 10, True]"
200,100,20000,20000,8192,10,200,true,30000,false,300000,5000,2048,false,8192,8192,8192,100,60000,5,895.04,10.047115325927734,"[8, 50, 10, True]"
200,100,20000,20000,8192,10,200,true,30000,false,300000,5000,2048,true,8192,8192,8192,100,60000,5,772.81,10.05012583732605,"[8, 50, 10, True]"
200,101,20000,20000,8192,10,200,true,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,789.42,10.050792217254639,"[8, 50, 10, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,false,8192,8192,8192,100,60000,5,818.57,10.046666622161865,"[8, 50, 10, True]"
200,100,20000,20000,8192,10,200,true,30000,false,300000,5000,2048,false,8192,8192,8192,100,60000,5,1258.63,20.074944496154785,"[8, 50, 20, True]"
6464,547,10369,32001,14264,96,79,false,48210,true,153908,24417,83894,true,37094,54556,60383,138,76824,1,1384.41,20.080967903137207,"[8, 50, 20, True]"
19921,337,41275,16578,52061,20,284,true,30142,true,77863,33227,42810,true,11913,48221,42819,588,504272,8,1239.08,20.070049285888672,"[8, 50, 20, True]"
16250,645,26561,45857,87760,317,326,true,24210,false,2752,52076,31079,true,50686,963,15834,499,59894,4,1278.48,20.08916735649109,"[8, 50, 20, True]"
11118,916,19653,12100,5856,154,137,true,3352,false,372675,13754,22140,false,48829,61307,51002,771,296032,6,1247.49,20.076151609420776,"[8, 50, 20, True]"
180,462,54720,6867,44271,200,485,false,18311,true,581955,15855,50386,false,5417,13295,4720,272,377522,2,1210.18,20.09146499633789,"[8, 50, 20, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8191,8192,100,60000,5,1270.84,20.07980966567993,"[8, 50, 20, True]"
200,100,20000,20000,8193,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,1331.1,20.0813627243042,"[8, 50, 20, True]"
6464,547,10369,32001,14264,96,79,false,48210,true,153908,24417,83894,true,37094,54556,60383,138,76824,1,1815.99,40.109156131744385,"[8, 50, 40, True]"
200,100,20000,20000,8193,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,2023.6,40.112009048461914,"[8, 50, 40, True]"
16250,645,26561,45857,87760,317,326,true,24210,false,2752,52076,31079,true,50686,963,15834,499,59894,4,2081.96,40.10294222831726,"[8, 50, 40, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8191,8192,100,60000,5,2110.01,40.10780310630798,"[8, 50, 40, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8191,8192,100,60000,5,2534.25,90.10840940475464,"[8, 50, 90, True]"
16250,645,26561,45857,87760,317,326,true,24210,false,2752,52076,31079,true,50686,963,15834,499,59894,4,2464.74,90.11305904388428,"[8, 50, 90, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8191,8192,100,60000,5,2724.4,180.12500548362732,"[8, 50, 180, True]"
3500,138,25666,16348,95957,28,201,false,25981,true,281937,30606,28729,false,3864,38579,32524,520,493233,10,1256.03,20.067463159561157,"[8, 50, 20, True]"
16849,858,3071,42089,35761,242,102,false,18591,true,406189,42461,93232,false,49173,46743,60958,14,357113,6,1168.58,20.0697021484375,"[8, 50, 20, True]"
11972,488,48580,37685,15433,461,372,true,46224,false,2219,15557,62624,true,27492,14428,9855,792,17149,2,1280.74,20.071666955947876,"[8, 50, 20, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8191,8192,8191,100,60000,5,1215.24,20.084731817245483,"[8, 50, 20, True]"
200,100,20000,20000,8192,10,200,true,30000,false,300000,5000,2048,true,8192,8193,8192,100,60000,5,1273.9,20.09378671646118,"[8, 50, 20, True]"
200,100,20000,20000,8192,10,200,true,30000,true,300000,5000,2048,true,8192,8192,8192,101,60000,5,1364.58,20.076768398284912,"[8, 50, 20, True]"
200,100,20000,20000,8192,10,200,true,30000,false,300000,5000,2048,true,8192,8192,8192,100,60000,5,1190.49,20.07662081718445,"[8, 50, 20, True]"
