inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
50,25,3,4,10,0.43030303030303024,2.7864192962646483,0
60,25,1,2,5,0.23636363636363633,2.620002102851868,0
50,35,1,2,35,0.41818181818181815,3.1333420753479,1
60,15,1,2,5,0.2121212121212121,2.6669250249862673,1
50,25,1,3,35,-0.35757575757575755,2.628944492340088,1
90,25,1,4,10,0.19999999999999998,2.6359760761260986,1
80,25,2,3,35,0.33333333333333326,4.373780536651611,2
50,25,1,3,20,0.16363636363636364,2.6402975797653196,2
80,35,1,4,35,0.17575757575757575,3.3520281076431275,2
50,25,2,4,35,0.17575757575757575,3.4688440799713134,2
