inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
70,5,2,2,20,0.709090909090909,2.9027680158615112,0
50,35,1,2,5,0.5757575757575757,2.8474759101867675,0
50,25,1,2,20,0.406060606060606,2.817811632156372,0
70,35,1,1,5,-0.17575757575757575,2.777209496498108,0
90,25,1,2,10,0.16363636363636364,2.7869954347610473,0
70,20,1,3,5,0.6242424242424242,3.0629722356796263,1
50,15,1,1,35,0.5393939393939393,2.911507487297058,1
70,25,1,1,10,0.2606060606060606,2.8223374128341674,1
70,5,1,2,20,0.38181818181818183,2.9079893112182615,1
50,25,1,1,20,0.1515151515151515,2.809302258491516,1
