8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,encode_time,avg_cpu_util,output_file_mb,bitrate_kbps,encode_fps,cost,fidelity
1,p4x4,3,0.5079306983929769,1,8,0,11,24.701364308715117,-3:3,none,0,293,1,dia,28,0,1,cbr,0,17.16,17.16,491.083916,26.190498,11003.430067,71.49,17.523433208465576,"['Action', '1080p', 60, '20s']"
1,none,1,0.613607024060917,0,1,1,7,29.782742369896518,1:1,none,1,353,1,hex,46,1,0,cbr,1,11.67,11.67,647.472151,16.221243,6815.040688,104.1,11.864239931106567,"['Action', '1080p', 60, '20s']"
1,p8x8,0,0.2635716088298565,0,1,0,5,14.44470599346896,5:-5,spatial,1,120,1,dia,9,0,0,cbr,1,16.22,16.22,992.17016,74.388002,31252.676874,74.38,16.42818331718445,"['Action', '1080p', 60, '20s']"
0,p8x8,3,0.9453273192959415,1,2,0,-11,16.161483619347173,3:3,temporal,1,368,1,dia,36,1,1,cbr,1,18.87,18.87,864.228935,70.290087,29531.01707,63.92,19.072425603866577,"['Action', '1080p', 60, '20s']"
0,all,3,1.1563644640803898,1,15,1,8,21.729830768859934,-6:6,temporal,1,499,1,umh,48,0,1,vbr,0,32.8,32.8,1153.20122,29.189952,12263.592316,36.7,33.00139665603638,"['Action', '1080p', 60, '20s']"
1,p8x8,2,0.927223660785606,2,9,1,-4,28.690203021799714,-1:1,temporal,1,422,0,esa,5,1,0,vbr,1,26.37,26.37,959.992416,17.849398,7499.078339,45.62,26.55630397796631,"['Action', '1080p', 60, '20s']"
0,all,0,0.04362165546356471,1,16,0,9,7.445689102872094,-6:6,auto,1,451,4,esa,51,1,0,vbr,0,158.59,158.59,870.603443,102.871864,43219.619178,7.56,158.7847936153412,"['Action', '1080p', 60, '20s']"
0,"p8x8,b8x8,i8x8,i4x4",2,1.9427057754675616,0,15,0,5,46.13400184771405,5:5,auto,1,82,4,dia,63,1,0,cbr,0,11.95,11.95,845.941423,2.938129,1234.39811,101.17,12.136433601379395,"['Action', '1080p', 60, '20s']"
1,none,0,0.15634977489048227,1,12,0,-8,42.74585354633745,2:-2,auto,0,416,2,esa,24,0,0,none,1,15.34,15.34,844.980443,4.395329,1846.612457,78.9,15.528837203979492,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",0,1.8051347571252758,1,11,0,12,22.56854085783465,6:6,none,0,89,0,tesa,41,1,0,none,0,112.75,112.75,1051.441242,31.000228,13024.144691,10.64,112.95149207115173,"['Action', '1080p', 60, '20s']"
0,none,2,0.7179948629013136,2,5,0,3,20.27871705487511,-2:2,spatial,1,255,3,dia,53,1,0,cbr,1,24.95,24.95,490.460922,37.74472,15857.712456,48.32,25.160879611968994,"['Action', '1080p', 60, '20s']"
0,none,0,1.791342720136699,2,3,0,-1,6.682713609385289,5:5,temporal,0,161,4,umh,37,0,1,none,1,19.22,19.22,1278.824142,147.663693,62038.037696,62.99,19.443191528320312,"['Action', '1080p', 60, '20s']"
1,all,1,1.5107084807844693,0,6,1,-5,47.89624359432953,4:4,auto,1,27,3,hex,49,1,0,vbr,1,11.24,11.24,690.836299,2.590302,1088.265357,108.09,11.43217158317566,"['Action', '1080p', 60, '20s']"
