time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
35,30,35000,4,0.5,0.7575757575757575,52.324186611175534,0
45,45,10000,6,0.5,0.9272727272727272,57.72717571258545,0
40,20,30000,10,0.5,0.9515151515151514,61.13456904888153,0
40,40,25000,4,0.5,0.7333333333333332,56.98840045928955,1
30,40,45000,4,0.5,0.9151515151515152,58.40985255241394,1
45,40,40000,4,0.5,0.8909090909090909,70.38018348217011,2
40,30,30000,6,0.5,0.8545454545454544,59.934798789024356,2
55,35,15000,6,0.5,0.8666666666666665,68.27023112773895,2
30,35,35000,8,0.5,0.6848484848484848,60.992660427093504,3
50,25,45000,4,0.5,0.8424242424242423,69.09123566150666,3
