time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
40,20,30000,10,0.5,0.9515151515151514,61.13456904888153,0
30,35,15000,8,0.5,0.8666666666666665,45.145223116874696,0
35,30,10000,4,0.5,0.7696969696969697,43.54030373096466,0
35,30,30000,4,0.5,0.9393939393939393,50.108348560333255,0
45,45,30000,6,0.8,0.9393939393939393,73.24691784381866,1
35,30,35000,4,0.5,0.7575757575757575,52.324186611175534,1
45,45,10000,6,0.5,0.9272727272727272,57.72717571258545,1
40,20,30000,6,0.5,0.8060606060606059,54.39449388980866,1
30,40,45000,4,0.5,0.9151515151515152,58.40985255241394,2
40,40,25000,4,0.5,0.7333333333333332,56.98840045928955,2
