innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,cost,fidelity,prepare_time,run_time,clean_time
222,113776177,106,66919234,58044971,12075836,23216,151932732,0,62,13439381295,2499,735750679,62,15533078,minimal,9446,15161693,37,915013,353.16,259.8874578475952,"[180, 50, 100000, 4, 0.5]",75.45478701591492,180.1199507713318,1.2043571472167969
277,197338296,169,151270324,109372086,51049525,41638,794132103,2,40,11921323516,21764,399950232,41,4992318,full,5326,16645116,64,924389,351.67,256.3691735267639,"[180, 50, 100000, 4, 0.5]",71.43220829963684,180.18150758743286,1.658931016921997
313,152367660,147,44458546,90867041,74103623,37553,792894453,0,30,13436203460,3875,328892736,37,8217231,minimal,4744,17882287,35,916434,364.58,250.69601011276245,"[180, 50, 100000, 4, 0.5]",66.64718651771545,180.07721781730652,0.8791658878326416
468,158628539,172,80216943,85144237,349759228,24247,193319559,0,32,12760238589,9749,417874723,45,82550845,minimal,7035,18269177,62,931065,358.52,259.40565514564514,"[180, 50, 100000, 4, 0.5]",75.24272727966309,180.107173204422,0.9610331058502197
208,152827897,103,206976602,72229817,73016632,43273,488172598,0,51,13147614313,4055,371849067,45,60673432,noblob,3305,6069369,76,975204,367.42,254.88540244102478,"[180, 50, 100000, 4, 0.5]",70.4174735546112,180.18660736083984,1.170835256576538
261,290227702,234,254350680,86346032,148267673,51629,762310522,0,52,13454946372,9980,815007045,110,11440795,full,3014,6934490,54,964051,362.23,255.45437455177307,"[180, 50, 100000, 4, 0.5]",71.20443511009216,180.11495733261108,1.0461552143096924
863,241316442,147,133547730,28682641,242811881,61526,952718327,0,36,13388128467,7414,487678136,41,59362339,minimal,4957,19604422,72,967948,356.3,258.6188395023346,"[180, 50, 100000, 4, 0.5]",74.44520306587219,180.14910650253296,0.9279718399047852
409,380994473,145,39373866,84498569,61486217,43870,772792253,0,42,13460570215,7211,464108704,95,66069737,minimal,4843,21162456,34,819039,378.71,254.2494490146637,"[180, 50, 100000, 4, 0.5]",70.00233173370361,180.20075130462646,0.9473912715911865
413,383873866,145,39388578,79465403,73838954,59295,858892304,0,42,13292530158,3575,304652796,94,55724189,minimal,4853,3443695,35,818829,354.89,255.9201111793518,"[180, 50, 100000, 4, 0.5]",71.6803252696991,180.19783353805542,0.9476943016052246
431,380871104,149,58989868,99737046,70592137,43955,791845405,0,59,13517285676,9066,844137157,95,77930507,full,4576,27787499,34,819061,356.34,257.41422724723816,"[180, 50, 100000, 4, 0.5]",73.13073921203613,180.1099898815155,1.0619337558746338
533,340261613,101,42978714,83897905,66387215,41965,784111175,0,45,13469265503,9386,401297019,104,65972426,minimal,4892,32789298,31,819039,357.4,257.0816626548767,"[180, 50, 100000, 4, 0.5]",72.8355541229248,180.16779232025146,0.9875361919403076
422,395877659,164,37761658,67622942,65502667,41772,809934491,0,41,11163061510,1995,512740789,94,63294984,minimal,4843,21160509,38,818737,347.64,264.8797402381897,"[180, 50, 100000, 4, 0.5]",80.418771982193,180.19988203048706,1.167304515838623
414,384568673,145,2138569,84312024,62048022,43898,774385781,0,42,13542086371,7045,465187159,85,57306840,minimal,4850,19908610,36,819500,361.32,250.04080891609192,"[180, 50, 100000, 4, 0.5]",65.85494613647461,180.21694922447205,0.8635375499725342
239,381720038,145,67499000,84901175,57495111,33230,773121826,0,37,13458157986,7211,470012503,95,66069736,minimal,4836,21759402,34,823836,362.59,253.60844135284424,"[180, 50, 100000, 4, 0.5]",69.26762557029724,180.24325013160706,0.9850711822509766
409,368789076,143,77896243,84335333,2723741,43862,781120680,0,40,13690901297,7211,468043471,95,64477295,minimal,4754,21227243,34,819039,363.5,259.0789415836334,"[180, 50, 100000, 4, 0.5]",74.7284722328186,180.23168659210205,1.0257318019866943
403,412973603,145,39264462,84286335,152871420,44209,771841452,0,42,13631359975,7211,464123903,95,65813599,minimal,5029,21162312,34,857723,364.62,257.0699248313904,"[180, 50, 100000, 4, 0.5]",72.76848411560059,180.10691285133362,1.102792501449585
404,339041969,145,42643031,88216007,61631113,44008,774078452,0,42,13504696927,7318,461042404,95,68659241,minimal,4703,16813006,29,794334,357.15,259.5268540382385,"[180, 50, 100000, 4, 0.5]",74.49660301208496,180.12744665145874,1.8088185787200928
409,380994464,226,42486423,84514900,61486216,43870,750501833,0,42,13460715168,7211,674921732,95,67892254,full,4843,22614862,37,819039,356.19,261.3569314479828,"[180, 50, 100000, 4, 0.5]",76.98318314552307,180.16688752174377,1.1003618240356445
411,376236620,110,383946926,73197196,362360685,44153,773138308,0,42,13584875955,9071,407570020,95,86356858,minimal,4846,20900922,86,987260,352.62,260.95002722740173,"[180, 50, 100000, 4, 0.5]",76.7600679397583,180.1566653251648,0.9199399948120117
409,380871974,145,33869880,84498568,61486216,43870,772797991,0,42,13379008445,7308,464108704,95,72739547,minimal,4702,21162456,34,817348,350.9,257.56580805778503,"[180, 50, 100000, 4, 0.5]",73.31326723098755,180.11963725090027,1.0327129364013672
200,323105747,132,150212896,87121012,142294954,52461,879101475,0,66,13460818587,9350,731587584,91,52450025,noblob,4566,23447585,64,971659,348.49,257.71550822257996,"[180, 50, 100000, 4, 0.5]",73.41890072822571,180.10909342765808,1.0809438228607178
405,365852872,145,39373864,84477397,72837111,43870,798318335,2,48,13460387221,4938,464108704,95,66069736,minimal,4843,21162456,34,819039,359.52,256.9314422607422,"[180, 50, 100000, 4, 0.5]",72.68306064605713,180.11570286750793,1.0195198059082031
409,465872361,171,269594384,83849786,85228076,43884,674839570,0,43,13555678339,7217,296647716,85,13864584,noblob,4916,29227561,34,823033,359.63,254.05549359321594,"[180, 50, 100000, 4, 0.5]",69.78928327560425,180.17103338241577,0.9790263175964355
382,30104021,305,381361479,101021443,67888134,13597,477113894,0,50,13951911196,9344,840734692,102,23681535,full,4841,21898361,60,974846,364.11,255.5573217868805,"[180, 50, 100000, 4, 0.5]",71.33141469955444,180.167418718338,0.9610235691070557
388,94507513,145,430471840,102933418,51346856,43940,104632593,0,39,12746092967,8036,340901874,93,16776044,minimal,4843,21177366,58,798337,361.76,261.57232332229614,"[180, 50, 100000, 4, 0.5]",77.13809442520142,180.14481568336487,1.1937294006347656
409,406175308,112,45525762,88882628,61486216,43871,810000056,0,51,13460570112,7194,518386854,97,65461895,noblob,4846,21206680,37,824584,365.31,257.80171513557434,"[180, 50, 100000, 4, 0.5]",73.71821284294128,180.0966236591339,0.8825128078460693
409,380855333,145,26537722,83982298,61482763,41721,772695169,0,42,13413757979,7211,411852901,81,63128540,minimal,4843,21162456,34,816163,360.21,260.50283336639404,"[180, 50, 100000, 4, 0.5]",76.25339818000793,180.18579602241516,0.9666740894317627
284,377219248,6740,345471596,17018806,178488828,87701,574224986,2,64,12256358094,4480,2980044477,4,88855323,minimal,902,5140970,20,774935,264.57,252.16558814048767,"[180, 50, 100000, 4, 0.5]",67.78788042068481,180.11717128753662,1.1744685173034668
406,318132088,232,43835875,84229771,356334327,40211,581569448,2,40,13132916601,6020,2328450045,94,20273033,noblob,5630,21159323,44,817780,360.16,253.27554774284363,"[180, 50, 100000, 4, 0.5]",68.48632550239563,180.12788820266724,1.5520951747894287
362,77184669,10097,278436167,106904863,476223904,130829,362452539,1,74,13998697863,21397,2099111207,14,93021350,minimal,4494,42809344,32,195131,222.71,255.77642440795898,"[180, 50, 100000, 4, 0.5]",69.59686589241028,180.16701006889343,2.8913686275482178
357,132023539,110,244144278,81162134,369683363,32579,120012384,0,42,13397272382,6518,581844677,94,34106949,full,4829,20766054,95,749536,351.72,254.9772505760193,"[180, 50, 100000, 4, 0.5]",70.7042191028595,180.16073060035706,1.0037105083465576
510,81514263,170,62482775,84388673,3551809,44484,734252597,0,43,12567004783,7746,292112247,95,65711712,full,4875,8644620,89,817433,364.46,260.174427986145,"[180, 50, 100000, 4, 0.5]",75.52091360092163,180.1013262271881,1.4190208911895752
777,384302696,149,278913602,83553233,537107382,40814,4707869,0,38,13407628089,19780,168522483,95,26605649,minimal,4837,5239158,34,851091,361.06,252.49034786224365,"[180, 50, 100000, 4, 0.5]",68.25947284698486,180.1625111103058,0.9687473773956299
403,284314669,145,34766402,88611717,277569441,39200,454757420,0,60,13274478561,6230,212195472,95,26429734,full,4827,21102957,34,818698,359.45,256.3206090927124,"[180, 50, 100000, 4, 0.5]",72.0499050617218,180.11892867088318,1.0460970401763916
335,50654718,176,225995337,82392434,78115710,42934,263559514,0,42,13449084864,7060,379945949,97,56997857,minimal,4993,17811117,45,819269,364.64,254.9494113922119,"[180, 50, 100000, 4, 0.5]",70.69466829299927,180.24277448654175,0.8973326683044434
397,33931835,145,20440190,85607201,19496575,38496,298160175,0,42,13461607332,7255,2263937209,98,61460983,noblob,6335,21875495,43,923647,358.87,256.239550113678,"[180, 50, 100000, 4, 0.5]",71.75587844848633,180.0859968662262,1.2774522304534912
339,293249277,225,196203160,84339413,65441052,30770,106220031,2,65,13515759683,7244,497595688,60,60172277,full,3124,12452519,87,882716,360.87,258.334627866745,"[180, 50, 100000, 4, 0.5]",74.1512222290039,180.10394930839539,0.9727458953857422
437,144607244,326,369038289,81814761,61379845,39570,275654194,2,46,13553088599,7301,347451972,101,30970552,full,4978,21540993,66,803624,352.94,256.2483398914337,"[180, 50, 100000, 4, 0.5]",71.93734240531921,180.14612936973572,1.06300687789917
