time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
40,40,40000,4,0.5,0.9030303030303028,65.86081187725067,0
30,25,15000,8,0.5,0.8060606060606059,42.49296009540558,0
30,30,25000,10,0.5,0.8787878787878788,54.61573984622955,0
45,45,25000,10,0.5,0.9151515151515152,78.1249349117279,0
45,35,10000,4,0.5,0.8303030303030302,54.48096139431,0
35,25,50000,10,0.5,0.8909090909090909,73.65686399936676,1
35,35,25000,4,0.5,0.7696969696969697,54.29369547367096,1
50,40,10000,8,0.5,0.8424242424242423,63.30987632274628,1
55,35,40000,8,0.5,0.8060606060606059,89.59952485561371,2
40,30,30000,10,0.5,0.7333333333333332,69.15554876327515,2
