time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
45,45,30000,6,0.5,0.8909090909090909,64.53025963306428,0
40,25,40000,4,0.5,0.8303030303030302,53.89159886837005,0
50,35,20000,6,0.5,0.8303030303030302,62.23798580169678,0
30,30,10000,6,0.5,0.6242424242424242,37.696002292633054,0
30,45,20000,6,0.5,0.709090909090909,44.98367826938629,0
50,35,30000,6,0.6,0.8303030303030302,66.08396022319793,1
50,20,35000,4,0.5,0.8181818181818182,60.87133893966675,1
30,20,20000,10,0.5,0.5272727272727272,41.24731812477112,1
35,30,40000,4,0.7,0.6121212121212121,50.33537492752075,1
40,20,35000,4,0.5,0.38181818181818183,50.677330303192136,2
