inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
50,35,3,3,35,0.5393939393939393,6.6465970277786255,0
70,20,3,1,25,0.38181818181818183,2.8794246196746824,0
50,20,3,1,10,-0.19999999999999998,2.7947498321533204,0
50,15,1,3,10,0.309090909090909,2.863109993934631,0
70,20,2,1,20,0.35757575757575755,2.917095994949341,1
70,20,1,1,10,-0.23636363636363633,2.8146382570266724,1
70,20,2,1,10,-0.10303030303030303,2.8907704830169676,1
50,35,2,4,5,-0.19999999999999998,2.8837328433990477,1
60,35,2,1,20,-0.04242424242424241,2.8920203924179075,1
50,20,1,3,5,-0.2727272727272727,2.873272681236267,2
