time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
30,35,10000,4,0.5,0.3696969696969697,37.78277747631073,0
50,20,40000,4,0.5,0.6969696969696969,61.97967295646667,0
40,25,40000,4,0.5,0.17575757575757575,53.73502345085144,1
30,35,15000,4,0.9,-0.2606060606060606,39.301329612731934,1
30,45,10000,10,0.6,0.17575757575757575,41.48152105808258,1
30,45,45000,10,0.5,0.4666666666666666,67.14686005115509,1
40,45,40000,10,0.5,0.5030303030303029,73.03815810680389,1
50,30,35000,4,0.5,0.34545454545454546,64.19395587444305,1
30,20,20000,10,0.5,-0.41818181818181815,40.36102166175842,2
50,45,45000,10,0.8,0.43030303030303024,86.5873967885971,2
