8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,evaluated_time,fidelity_setting,corr
0,p8x8,3,0.6076115582735653,0,0,1,4,49.801977859487394,2:2,temporal,1,321,2,hex,60,0,1,vbr,0,10.32,10.470057249069214,"['Action', '1080p', 60, '20s']",1
0,p4x4,0,1.270976006081585,1,12,1,0,26.763382110464214,-4:4,auto,1,445,0,hex,17,0,0,vbr,1,10.84,11.001084327697754,"['Action', '1080p', 60, '20s']",1
1,p4x4,0,0.4498679550631097,0,12,0,7,28.58475890485096,-4:4,none,1,326,0,hex,12,1,0,vbr,1,10.85,10.994005918502808,"['Action', '1080p', 60, '20s']",1
0,p4x4,3,0.4498679550631097,0,12,1,0,28.58475890485096,-4:4,none,1,445,0,hex,17,0,0,none,1,11.63,11.766153573989868,"['Action', '1080p', 60, '20s']",1
0,p4x4,1,0.4498679550631097,1,14,1,2,29.585346184273632,0:0,temporal,1,79,0,umh,12,1,0,vbr,0,12.02,12.165235996246338,"['Action', '1080p', 60, '20s']",1
1,p4x4,0,0.8900625634323396,1,6,0,-4,19.919897942002866,6:6,spatial,0,256,3,dia,22,0,0,none,1,12.22,12.39730429649353,"['Action', '1080p', 60, '20s']",1
1,p8x8,3,0.4498679550631097,1,12,1,0,28.58475890485096,-4:4,none,1,79,0,hex,12,0,0,none,1,12.25,12.39517331123352,"['Action', '1080p', 60, '20s']",1
0,none,3,0.4498679550631097,0,12,1,0,28.58475890485096,-1:1,spatial,1,326,0,umh,17,1,0,none,0,12.54,12.680936574935913,"['Action', '1080p', 60, '20s']",1
1,p8x8,0,0.6076115582735653,0,12,1,4,28.58475890485096,-4:4,none,1,79,0,hex,60,1,0,none,0,12.54,12.678260087966919,"['Action', '1080p', 60, '20s']",1
0,p4x4,0,1.2932080819328864,0,12,0,7,16.60761245102158,-1:1,spatial,1,326,0,hex,17,1,1,vbr,1,12.64,12.805913925170898,"['Action', '1080p', 60, '20s']",1
1,p4x4,1,1.195380953907058,0,14,1,10,29.585346184273632,0:0,temporal,1,117,0,umh,22,0,1,vbr,1,12.97,13.116974592208862,"['Action', '1080p', 60, '20s']",1
0,p4x4,3,0.4498679550631097,0,13,1,0,28.58475890485096,-4:4,none,1,187,0,umh,17,1,0,none,0,13.32,13.455679893493652,"['Action', '1080p', 60, '20s']",1
1,p8x8,3,0.8900625634323396,0,9,1,0,19.919897942002866,1:1,none,0,304,0,dia,12,0,0,none,1,13.36,13.509706020355225,"['Action', '1080p', 60, '20s']",1
1,p4x4,2,1.195380953907058,0,14,1,-1,29.585346184273632,0:0,auto,0,368,0,umh,22,0,0,vbr,0,13.48,13.62336254119873,"['Action', '1080p', 60, '20s']",1
0,"p8x8,b8x8,i8x8,i4x4",0,1.270976006081585,1,6,1,-4,26.763382110464214,6:6,auto,1,250,3,hex,22,0,0,vbr,1,13.57,13.733177423477173,"['Action', '1080p', 60, '20s']",1
1,p8x8,3,0.4498679550631097,0,16,1,0,28.58475890485096,-4:4,none,1,445,0,umh,12,1,0,none,0,13.63,13.778029203414917,"['Action', '1080p', 60, '20s']",1
1,p4x4,1,1.195380953907058,0,2,0,10,29.585346184273632,0:0,spatial,1,256,1,hex,22,0,0,none,0,13.81,13.951006650924683,"['Action', '1080p', 60, '20s']",1
1,p8x8,3,0.4498679550631097,1,13,1,0,28.58475890485096,-4:4,none,1,79,0,umh,12,1,0,none,0,14.15,14.306786298751831,"['Action', '1080p', 60, '20s']",1
0,p8x8,3,0.4498679550631097,1,13,1,0,49.801977859487394,2:2,temporal,1,321,2,umh,12,0,1,cbr,0,14.16,14.294212818145752,"['Action', '1080p', 60, '20s']",1
1,p8x8,0,1.2932080819328864,1,13,0,7,16.60761245102158,-4:4,none,1,79,4,hex,12,1,1,vbr,1,14.35,14.503365278244019,"['Action', '1080p', 60, '20s']",1
