ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,evaluated_time,fidelity_setting,corr
Off,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,Off,Off,Off,On,On,Off,Off,0.07919716835021973,42.897178173065186,"[10, 50, 6, 4, 50]",1
Off,Off,On,On,On,On,Off,On,Off,On,On,Off,Off,Off,Off,Off,On,Off,Off,Off,0.08051395416259766,43.080410957336426,"[10, 50, 6, 4, 50]",1
On,Off,Off,On,On,Off,Off,On,Off,Off,On,Off,On,On,On,Off,Off,Off,On,Off,0.08081603050231934,42.876922607421875,"[10, 50, 6, 4, 50]",1
On,Off,Off,Off,On,On,On,On,Off,Off,Off,On,Off,Off,Off,Off,On,On,Off,On,0.08105254173278809,42.94805359840393,"[10, 50, 6, 4, 50]",1
On,Off,On,On,On,On,Off,On,Off,Off,On,Off,Off,Off,On,Off,On,Off,On,Off,0.08201932907104492,43.039586305618286,"[10, 50, 6, 4, 50]",1
On,Off,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,0.0820474624633789,42.83921408653259,"[10, 50, 6, 4, 50]",1
Off,On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,On,On,Off,Off,On,Off,0.08527827262878418,42.81860637664795,"[10, 50, 6, 4, 50]",1
On,Off,On,On,Off,On,On,Off,Off,Off,Off,Off,On,Off,On,Off,On,Off,Off,Off,0.08560848236083984,42.9598331451416,"[10, 50, 6, 4, 50]",1
Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,0.08691954612731934,42.89956545829773,"[10, 50, 6, 4, 50]",1
Off,Off,On,Off,On,Off,Off,Off,On,Off,On,Off,On,On,On,Off,Off,On,On,On,0.08716487884521484,42.95760154724121,"[10, 50, 6, 4, 50]",1
Off,Off,Off,On,Off,On,On,Off,Off,On,On,Off,On,Off,Off,On,On,Off,Off,Off,0.08731651306152344,42.900431632995605,"[10, 50, 6, 4, 50]",1
Off,On,Off,Off,On,On,Off,On,On,Off,Off,On,On,Off,On,Off,Off,On,On,Off,0.08822798728942871,42.685028076171875,"[10, 50, 6, 4, 50]",1
On,Off,Off,On,On,Off,Off,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,On,Off,0.08840417861938477,42.941874742507935,"[10, 50, 6, 4, 50]",1
On,On,Off,On,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,Off,On,Off,On,0.08884096145629883,42.91395115852356,"[10, 50, 6, 4, 50]",1
Off,On,Off,On,On,Off,Off,On,On,On,Off,Off,On,Off,Off,Off,On,On,On,On,0.08890247344970703,43.042635679244995,"[10, 50, 6, 4, 50]",1
On,Off,On,On,Off,On,Off,On,Off,Off,On,Off,On,On,On,Off,Off,Off,On,Off,0.09224534034729004,43.00001120567322,"[10, 50, 6, 4, 50]",1
On,Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,On,Off,On,Off,Off,On,Off,0.09319758415222168,42.84138512611389,"[10, 50, 6, 4, 50]",1
On,Off,On,On,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,0.09360837936401367,42.989378452301025,"[10, 50, 6, 4, 50]",1
On,On,On,Off,Off,Off,Off,Off,Off,On,On,Off,Off,On,On,On,Off,Off,Off,Off,0.09395575523376465,42.99472236633301,"[10, 50, 6, 4, 50]",1
Off,Off,Off,On,Off,Off,On,On,On,On,On,On,Off,On,On,On,On,On,Off,Off,0.09547209739685059,42.859915018081665,"[10, 50, 6, 4, 50]",1
